date,caemp
ene-61,83.090255
abr-61,82.79963388
jul-61,84.63443803
oct-61,85.37745835
ene-62,86.197605
abr-62,86.57884388
jul-62,88.04972403
oct-62,87.92492635
ene-63,88.465131
abr-63,88.39846388
jul-63,89.44943203
oct-63,90.55637535
ene-64,92.272335
abr-64,92.14967888
jul-64,93.95648903
oct-64,94.81148635
ene-65,96.583434
abr-65,96.96467288
jul-65,98.99543603
oct-65,101.1381644
ene-66,102.882122
abr-66,103.0953949
jul-66,104.006386
oct-66,104.7774044
ene-67,104.701732
abr-67,102.5635049
jul-67,103.558486
oct-67,102.9857744
ene-68,102.098281
abr-68,101.4717349
jul-68,102.550696
oct-68,104.0215644
ene-69,105.093652
abr-69,105.1949549
jul-69,104.594266
oct-69,105.8131844
ene-70,105.149642
abr-70,102.8994349
jul-70,102.354736
oct-70,102.0339744
ene-71,102.014299
abr-71,101.8356549
jul-71,102.018806
oct-71,102.7338344
ene-72,103.134062
abr-72,103.2633549
jul-72,103.866416
oct-72,105.3932744
ene-73,107.081242
abr-73,108.4142749
jul-73,109.297286
oct-73,111.4959944
ene-74,112.680072
abr-74,113.0613049
jul-74,112.376636
oct-74,111.2440544
ene-75,107.305192
abr-75,106.6786449
jul-75,104.678246
oct-75,105.7292044
ene-76,107.837082
abr-76,108.0223649
jul-76,107.281706
oct-76,107.0169344
ene-77,106.045452
abr-77,106.3707049
jul-77,106.049966
oct-77,105.8411844
ene-78,106.045452
abr-78,106.6506449
jul-78,107.393676
oct-78,108.6685844
ene-79,109.628702
abr-79,110.2618949
jul-79,110.920946
oct-79,110.7401544
ene-80,110.048622
abr-80,108.1903249
jul-80,107.057746
oct-80,108.0247244
ene-81,109.712692
abr-81,111.4096549
jul-81,108.765396
oct-81,106.2890844
ene-82,103.917902
abr-82,100.7998749
jul-82,97.39977003
oct-82,93.24381435
ene-83,94.123068
abr-83,96.19707988
jul-83,97.27542903
oct-83,96.45614235
ene-84,92.674237
abr-84,92.85362288
jul-84,93.43045403
oct-84,93.20555935
ene-85,93.955896
abr-85,94.72967388
jul-85,95.56655103
oct-85,95.54597935
ene-86,97.09503
abr-86,97.75735988
jul-86,96.16094303
oct-86,96.58616535
ene-87,103.874812
abr-87,105.0943849
jul-87,106.804276
oct-87,107.7867444
ene-88,106.596022
abr-88,107.3103549
jul-88,106.897156
oct-88,107.2109244
ene-89,107.134682
abr-89,108.8297749
jul-89,107.926196
oct-89,106.2989044
ene-90,103.365872
abr-90,102.0295549
jul-90,99.30007603
oct-90,95.30450735
ene-91,90.50099
abr-91,88.09848488
jul-91,86.51507103
oct-91,85.11439435
ene-92,89.033584
abr-92,88.82290088
jul-92,88.26667103
oct-92,87.72600535
ene-93,88.102896
abr-93,87.65469688
jul-93,88.40040903
oct-93,88.36180135
ene-94,89.031151
abr-94,91.02029488
jul-94,91.67328203
oct-94,92.01491735
,
