"","col_names","x"
"1",Jan 2002,71.7
"2",Apr 2002,67.9
"3",Jul 2002,72.5
"4",Oct 2002,67.1
"5",Jan 2003,74.4
"6",Apr 2003,67.1
"7",Jul 2003,77.4
"8",Oct 2003,71.3
"9",Jan 2004,80.2
"10",Apr 2004,75.7
"11",Jul 2004,81.5
"12",Oct 2004,73.4
"13",Jan 2005,83.8
"14",Apr 2005,78.4
"15",Jul 2005,84.8
"16",Oct 2005,77.2
"17",Jan 2006,83.6
"18",Apr 2006,78.2
"19",Jul 2006,82.5
"20",Oct 2006,74.1
"21",Jan 2007,77.5
"22",Apr 2007,72
"23",Jul 2007,78.6
"24",Oct 2007,72
"25",Jan 2008,78.7
"26",Apr 2008,68.8
"27",Jul 2008,70.5
"28",Oct 2008,63.8
"29",Jan 2009,66.7
"30",Apr 2009,63.7
"31",Jul 2009,67.3
"32",Oct 2009,63.5
"33",Jan 2010,70.6
"34",Apr 2010,67.3
"35",Jul 2010,75.2
"36",Oct 2010,69.5
"37",Jan 2011,76.6
"38",Apr 2011,68.6
"39",Jul 2011,76.1
"40",Oct 2011,71.9
"41",Jan 2012,80.3
"42",Apr 2012,73.8
"43",Jul 2012,78.9
"44",Oct 2012,74.5
"45",Jan 2013,82
"46",Apr 2013,74.2
"47",Jul 2013,77.8
"48",Oct 2013,72.3
"49",Jan 2014,80.8
"50",Apr 2014,74
"51",Jul 2014,78.7
"52",Oct 2014,74.7
"53",Jan 2015,80
"54",Apr 2015,77.9
"55",Jul 2015,79.9
"56",Oct 2015,78
