time,milk
ene-94,1343
feb-94,1236
mar-94,1401
abr-94,1396
may-94,1457
jun-94,1388
jul-94,1389
ago-94,1369
sep-94,1318
oct-94,1354
nov-94,1312
dic-94,1370
ene-95,1404
feb-95,1295
mar-95,1453
abr-95,1427
may-95,1484
jun-95,1421
jul-95,1414
ago-95,1375
sep-95,1331
oct-95,1364
nov-95,1320
dic-95,1380
ene-96,1415
feb-96,1348
mar-96,1469
abr-96,1441
may-96,1479
jun-96,1398
jul-96,1400
ago-96,1382
sep-96,1342
oct-96,1391
nov-96,1350
dic-96,1418
ene-97,1433
feb-97,1328
mar-97,1500
abr-97,1474
may-97,1529
jun-97,1471
jul-97,1473
ago-97,1446
sep-97,1377
oct-97,1416
nov-97,1369
dic-97,1438
ene-98,1466
feb-98,1347
mar-98,1515
abr-98,1501
may-98,1556
jun-98,1477
jul-98,1468
ago-98,1443
sep-98,1386
oct-98,1446
nov-98,1407
dic-98,1489
ene-99,1518
feb-99,1404
mar-99,1585
abr-99,1554
may-99,1610
jun-99,1516
jul-99,1498
ago-99,1487
sep-99,1445
oct-99,1491
nov-99,1459
dic-99,1538
ene-00,1579
feb-00,1506
mar-00,1632
abr-00,1593
may-00,1636
jun-00,1547
jul-00,1561
ago-00,1525
sep-00,1464
oct-00,1511
nov-00,1459
dic-00,1519
ene-01,1549
feb-01,1431
mar-01,1599
abr-01,1571
may-01,1632
jun-01,1555
jul-01,1552
ago-01,1520
sep-01,1472
oct-01,1522
nov-01,1485
dic-01,1549
ene-02,1591
feb-02,1472
mar-02,1654
abr-02,1621
may-02,1678
jun-02,1587
jul-02,1578
ago-02,1570
sep-02,1497
oct-02,1539
nov-02,1496
dic-02,1575
ene-03,1615
feb-03,1489
mar-03,1666
abr-03,1627
may-03,1671
jun-03,1596
jul-03,1597
ago-03,1571
sep-03,1511
oct-03,1561
nov-03,1517
dic-03,1596
ene-04,1624
feb-04,1531
mar-04,1661
abr-04,1636
may-04,1692
jun-04,1607
jul-04,1623
ago-04,1601
sep-04,1533
oct-04,1583
nov-04,1531
dic-04,1610
ene-05,1643
feb-05,1522
mar-05,1707
abr-05,1690
may-05,1760
jun-05,1690
jul-05,1683
ago-05,1671
sep-05,1599
oct-05,1637
nov-05,1592
dic-05,1663
