obs,y
1,-0.058849524
2,-0.122817404
3,-0.074810796
4,-0.974201376
5,-0.535320212
6,-0.861529171
7,-0.825649093
8,-1.987854834
9,0.291517963
10,-1.07246563
11,0.275286415
12,3.005353227
13,5.074798214
14,0.865315199
15,1.997357892
16,1.723526253
17,-0.292892675
18,-0.039215611
19,-0.502549893
20,0.512960587
21,1.622297974
22,0.021851439
23,1.106748807
24,0.115664074
25,1.065151135
26,-0.901556542
27,2.098105767
28,0.52473468
29,0.464384375
30,0.093922434
31,0.611046609
32,1.940481997
33,3.265230661
34,4.350051408
35,3.192628631
36,3.445054922
37,2.842809374
38,0.358953919
39,-5.257159367
40,-6.516134052
41,-4.777523193
42,-4.716883962
43,-4.20091193
44,-3.131552421
45,-3.459518269
46,-2.701334014
47,-1.92200595
48,-1.99345624
49,-1.966074093
50,-2.084383862
51,-2.142897533
52,-1.512291156
53,-2.49433139
54,-0.204891101
55,1.564008405
56,0.990138419
57,0.305056261
58,0.482790398
59,0.498138164
60,0.512637105
61,-0.622787073
62,0.322564593
63,0.20028156
64,-0.480162668
65,-1.167137432
66,-1.005082561
67,-1.893994512
68,-0.697684124
69,-0.722131489
70,-0.836672858
71,-1.094202545
72,0.049055451
73,-0.615132467
74,0.195716638
75,0.00322707
76,-0.590184515
77,0.698115197
78,0.45336561
79,0.489500622
80,2.770786324
81,3.166584236
82,2.59712979
83,2.34139895
84,0.121110517
85,0.918327871
86,0.880898913
87,-0.574545886
88,-1.84697368
89,-0.516436277
90,0.240403307
91,0.88389505
92,1.075119992
93,2.856748673
94,1.939193619
95,1.2332911
96,1.194943204
97,0.987829336
98,1.199417186
99,1.171717031
100,0.513503558
101,1.967061513
102,3.214628805
103,0.222385103
104,2.392034546
105,2.456483814
106,1.70589983
107,0.46918444
108,1.55086516
109,0.380467784
110,1.719690935
111,0.79837585
112,0.870701597
113,0.850355448
114,0.432768743
115,-0.175056058
116,-1.254991189
117,-0.209382527
118,-0.218522919
119,1.095186444
120,2.151382581
121,3.650426137
122,3.425334278
123,2.132443843
124,-0.014653195
125,0.354923822
126,-0.431479557
127,-1.851667957
128,-3.978936043
129,-2.726916422
130,-2.13631509
131,-1.369823065
132,-1.908337667
133,1.914602617
134,3.010912563
135,4.320715834
136,5.076293997
137,2.274801911
138,-1.237396211
139,-5.132567736
140,-4.68343311
141,-3.044172945
142,-3.64073663
143,-2.873887383
144,-1.995729955
145,-2.133886373
146,0.021117612
147,2.171588482
148,3.568990185
149,0.763713409
150,-2.567936556
151,6.348918953
152,3.307741272
153,3.10542276
154,2.425359476
155,2.638068517
156,3.814470451
157,0.826124136
158,0.450579305
159,2.113787296
160,0.866948066
161,-0.07071035
162,-0.740764682
163,-0.479942417
164,-0.558829216
165,0.189693007
166,-1.533496757
167,0.034597402
168,-1.659343178
169,0.954362656
170,-0.308825732
171,-0.227662103
172,-0.742709646
173,-1.556786728
174,-0.862806354
175,-0.910888833
176,0.429654358
177,0.339039621
178,0.230768696
179,1.465928039
180,0.162823607
181,-0.88576179
182,-0.471475284
183,-1.133908725
184,-0.507474226
185,-0.977101682
186,-0.548632085
187,-0.169109906
188,-0.073439792
189,0.748834208
190,-0.103524359
191,1.129221991
192,0.573756582
193,1.579569464
194,1.729159123
195,2.085980259
196,1.621862282
197,1.694352818
198,-0.045881053
199,-1.112570493
200,-2.848618724
