Mortalidad general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Defunciones accidentales y violentas Por: Mes de registro Segn: A񯠤e registro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Total,"58,904","59,353","60,136","58,237","58,600","56,919","55,837","56,032","56,022","54,559","52,129","51,972","52,463","52,325","51,323","53,110","53,854","55,029","60,174","67,409","72,520","75,320","73,736","69,585","66,640","68,577","72,821","80,400","83,749","83,882",
Enero,"5,268","4,979","5,029","5,033","4,934","5,014","4,904","4,768","4,774","4,548","4,677","4,433","4,727","4,610","4,325","4,620","4,686","4,599","4,846","5,381","5,878","6,286","6,261","6,175","5,607","5,408","5,463","6,323","6,515","6,738",
Febrero,"4,426","4,502","4,490","4,502","4,489","4,372","4,374","4,148","4,373","4,194","4,286","3,890","4,095","3,998","4,200","4,107","4,169","3,967","4,523","5,197","5,202","5,757","5,694","5,502","5,159","5,213","5,611","5,846","6,291","6,570",
Marzo,"4,782","4,852","5,244","4,991","5,107","4,946","4,522","4,648","4,565","4,690","4,572","4,385","4,291","4,565","4,477","4,502","4,513","4,552","4,808","5,613","6,038","6,441","6,198","5,899","5,809","5,748","5,956","6,518","6,872","6,912",
Abril,"4,817","5,259","5,334","4,959","4,706","4,530","4,779","4,440","4,691","4,453","4,226","4,360","4,626","4,585","4,247","4,362","4,539","4,728","4,937","5,538","6,048","6,215","6,214","6,204","5,573","5,913","5,862","6,554","7,202","7,269",
Mayo,"5,224","5,271","5,055","5,047","5,372","4,942","4,843","4,711","4,753","4,752","4,574","4,617","4,547","4,634","4,308","4,526","4,659","4,841","5,245","5,305","6,383","7,047","6,778","6,184","5,786","5,785","6,379","7,191","7,350","7,382",
Junio,"4,703","4,872","5,019","4,881","4,670","4,583","4,414","4,630","4,775","4,342","4,024","4,080","3,982","4,251","4,100","4,497","4,308","4,471","4,911","5,767","6,254","6,471","6,162","5,570","5,433","5,742","6,004","6,723","7,079","6,942",
Julio,"4,878","5,256","5,006","4,639","4,856","4,633","4,791","4,783","4,663","4,555","4,350","4,511","4,459","4,446","4,238","4,351","4,338","4,743","5,076","5,707","5,991","6,193","6,267","5,771","5,603","5,811","6,218","6,503","7,193","7,109",
Agosto,"5,218","5,049","5,056","5,094","5,114","4,848","4,472","4,805","4,572","4,669","4,297","4,292","4,476","4,023","4,381","4,397","4,656","4,582","4,963","5,803","6,461","6,428","6,178","5,605","5,501","5,962","6,476","6,748","7,031","6,910",
Septiembre,"4,653","4,717","4,792","4,480","4,692","4,563","4,636","4,541","4,659","4,341","4,267","3,977","4,112","4,178","4,058","4,181","4,330","4,367","4,852","5,708","5,798","5,979","6,006","5,562","5,375","5,510","6,002","6,705","6,651","6,754",
Octubre,"4,986","4,708","4,799","4,542","4,826","4,902","4,568","4,812","4,499","4,569","4,077","4,439","4,262","4,157","4,124","4,285","4,415","4,717","5,236","5,603","6,094","6,159","6,229","5,780","5,502","5,635","6,191","6,972","7,316","7,015",
Noviembre,"4,665","4,592","4,782","4,679","4,736","4,455","4,428","4,409","4,519","4,403","4,037","4,276","4,073","4,080","4,250","4,498","4,457","4,500","5,083","5,285","5,830","6,035","5,643","5,189","5,200","5,656","5,933","6,889","6,974","6,840",
Diciembre,"5,284","5,296","5,530","5,390","5,098","5,131","5,106","5,337","5,179","5,043","4,742","4,712","4,813","4,798","4,615","4,784","4,784","4,962","5,694","6,502","6,543","6,309","6,106","6,144","6,092","6,194","6,726","7,428","7,275","7,441",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FUENTE: INEGI. Estad_icas de mortalidad.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
