S ASVABC SM
12 -0.1750399 14
16 0.5126839 13
18 0.6142631 16
16 0.3949822 18
17 -0.1138124 13
14 1.652072 12
12 -0.4983177 9
12 -1.168978 12
12 0.6666397 14
14 0.7833807 18
18 0.9236898 12
16 -0.8522906 16
10 -1.568947 14
11 -0.0183583 11
12 0.8466713 12
19 0.4183944 12
12 -0.1276404 12
12 0.603721 14
12 -0.2832263 12
13 0.7883909 14
12 -0.9644651 13
11 -1.016974 12
20 0.9598684 12
16 0.4636566 12
19 1.858611 18
12 0.3720424 14
13 -1.38217 7
12 0.5151849 12
16 1.310635 14
9 -0.1312566 9
17 1.399448 12
18 1.607653 16
12 -0.5619862 16
12 -0.7515841 12
12 -0.7268942 12
14 0.5050177 12
13 1.469763 19
8 0.1744848 12
9 -0.2487936 17
12 0.0654767 12
12 -1.564096 9
15 1.579282 9
20 1.751821 14
16 0.7232251 14
12 -2.003021 10
12 -0.6698439 6
12 -0.9256574 16
18 -0.670513 12
16 0.9215321 12
16 0.5316442 16
19 0.3696871 12
9 -0.2404429 12
13 -1.083986 10
12 0.4570958 11
19 1.293814 18
16 -0.159512 17
10 0.3657811 14
13 -1.280818 13
18 1.287267 14
13 -0.9792036 11
18 1.962242 17
16 -0.1506064 18
12 -2.050694 12
19 -0.841354 14
16 0.8293254 12
12 -0.7984689 12
14 -0.0287371 17
17 0.6547003 16
12 0.5986907 12
14 0.0888151 16
16 1.933778 16
17 1.89322 16
18 0.8812615 14
17 1.135258 9
12 0.4440061 14
17 0.1592328 12
15 0.8822062 14
9 -0.2798371 12
12 -1.205225 13
16 1.272844 13
16 -0.1572809 13
13 0.0053864 12
20 1.840568 17
14 1.827906 12
12 -1.322173 11
17 0.5214975 14
14 -0.3144119 16
8 -0.6433959 10
12 -1.054848 12
16 1.413615 12
17 0.8438697 16
12 -0.6392931 12
16 0.4760192 14
8 -1.222141 15
13 0.1744753 15
15 -0.9036676 12
14 0.2646913 9
16 -0.0119389 19
16 0.7749538 16
11 0.1073185 12
12 -0.5690395 12
13 0.5383949 12
13 -2.064772 14
14 -0.9312873 12
17 1.103636 14
12 -0.3179206 12
16 0.8068838 12
12 -0.0532964 12
11 -0.3100352 12
16 1.440988 14
11 -0.9474493 12
12 0.8800673 14
13 -0.5021854 11
13 0.4155683 13
14 0.3926641 14
17 0.9983153 17
12 0.854607 20
17 0.3889758 14
17 0.9949408 14
11 -1.513894 13
13 0.9559552 13
20 2.53909 19
16 0.4648801 17
17 1.250823 16
16 0.977851 16
12 -0.0991593 12
12 0.1627651 13
14 1.603834 12
18 0.8881045 16
13 0.8890432 13
17 0.1347132 12
20 1.101349 18
15 -0.656138 12
14 -0.8191254 12
14 0.1968723 15
14 0.583162 12
12 0.1754244 13
16 1.248104 16
12 0.0639955 12
16 0.5081161 17
12 -0.704477 12
17 0.4249166 16
11 0.9220971 12
16 -1.476499 16
20 0.6543608 12
13 1.505625 16
14 0.4816774 16
18 1.247886 16
17 -0.5186807 12
11 -0.9345209 14
10 0.0137522 10
10 -1.511239 12
13 0.6313062 17
15 -0.3306869 12
16 0.076964 12
11 -2.219903 10
12 -0.731986 12
12 0.2071136 16
18 0.8851365 12
13 -0.6011922 12
20 0.6739523 16
13 -0.567481 12
18 2.419906 20
12 -0.5334741 12
17 0.9202421 13
16 1.608652 14
17 -0.4757651 12
11 -0.491689 12
12 -0.2537591 12
11 0.365303 14
19 2.307229 18
8 -1.225501 10
16 0.9189139 16
18 0.0774853 16
12 -0.364833 15
15 0.3188837 12
16 0.4357738 14
14 -0.1432872 13
17 0.9293921 16
15 0.0497948 14
12 -0.7391297 12
13 0.8533004 14
14 1.105044 12
17 1.824198 12
16 1.571125 12
15 -0.7270724 12
18 0.7474843 16
12 0.2224102 13
10 -1.543825 11
16 -0.0549026 12
15 -0.5969199 15
12 -0.3869705 14
16 -1.378437 14
18 0.8407829 20
17 0.4812956 16
16 0.4624668 17
14 1.076416 11
10 0.2931609 11
15 1.361309 14
20 1.257862 12
16 1.005763 16
16 0.3297125 15
15 0.222482 9
16 1.014156 18
10 -1.649209 11
17 0.0500569 20
17 1.045606 12
14 0.4257737 12
16 0.9240828 15
14 -1.038727 12
15 1.001774 14
18 1.243218 14
14 0.6167503 17
11 -1.5098 12
16 0.645099 14
12 -1.215893 12
11 -1.24166 12
19 -1.077275 12
19 0.9509887 16
15 -0.0930198 16
15 -0.1722536 11
14 0.8377813 14
12 -0.5811686 12
18 0.4339962 16
18 1.852204 16
15 0.3511872 12
16 1.189931 12
14 -0.2348741 13
16 1.883506 17
16 1.410034 14
15 -0.0338177 17
16 1.607652 17
