obs,leuro,lusa
1995Q1,4.462454,4.387014
1995Q2,4.46935,4.389499
1995Q3,4.471639,4.396915
1995Q4,4.475062,4.404277
1996Q1,4.4762,4.411585
1996Q2,4.483003,4.428433
1996Q3,4.488636,4.436752
1996Q4,4.492001,4.447346
1997Q1,4.495355,4.455509
1997Q2,4.507557,4.470495
1997Q3,4.514151,4.483003
1997Q4,4.52396,4.490881
1998Q1,4.531524,4.49981
1998Q2,4.53582,4.508659
1998Q3,4.541165,4.521789
1998Q4,4.543295,4.53903
1999Q1,4.552824,4.547541
1999Q2,4.558079,4.55598
1999Q3,4.570579,4.568506
1999Q4,4.581902,4.585987
2000Q1,4.594109,4.589041
2000Q2,4.603168,4.608166
2000Q3,4.608166,4.609162
2000Q4,4.615121,4.615121
2001Q1,4.62301,4.611152
2001Q2,4.62301,4.618086
2001Q3,4.623992,4.615121
2001Q4,4.624973,4.619073
2002Q1,4.62791,4.626932
2002Q2,4.632785,4.632785
2002Q3,4.635699,4.637637
2002Q4,4.636669,4.637637
2003Q1,4.637637,4.641502
2003Q2,4.637637,4.650144
2003Q3,4.642466,4.666265
2003Q4,4.64823,4.675629
2004Q1,4.65396,4.682131
2004Q2,4.659658,4.689511
2004Q3,4.662495,4.696837
2004Q4,4.666265,4.705016
2005Q1,4.669084,4.715817
2005Q2,4.675629,4.719391
2005Q3,4.682131,4.727388
2005Q4,4.687671,4.732684
2006Q1,4.695011,4.745801
2006Q2,4.706824,4.749271
2006Q3,4.713127,4.749271
2006Q4,4.721174,4.756173
2007Q1,4.729156,4.759607
2007Q2,4.733563,4.767289
2007Q3,4.739701,4.776599
2007Q4,4.743191,4.781641
2008Q1,4.751001,4.779963
2008Q2,4.747537,4.783316
2008Q3,4.744062,4.776599
2008Q4,4.723842,4.763028
2009Q1,4.698661,4.745801
2009Q2,4.697749,4.744062
2009Q3,4.701389,4.750136
2009Q4,4.703204,4.763882
