obs,c,y
1960Q1,7.479017,7.578401
1960Q2,7.49159,7.583807
1960Q3,7.487622,7.584671
1960Q4,7.488965,7.584061
1961Q1,7.488685,7.593122
1961Q2,7.503455,7.608077
1961Q3,7.508294,7.621636
1961Q4,7.528117,7.641084
1962Q1,7.538708,7.650502
1962Q2,7.550924,7.661621
1962Q3,7.558986,7.667158
1962Q4,7.573069,7.67536
1963Q1,7.579781,7.683634
1963Q2,7.589285,7.693071
1963Q3,7.602801,7.704316
1963Q4,7.61115,7.720728
1964Q1,7.630704,7.74049
1964Q2,7.64812,7.767306
1964Q3,7.666316,7.780178
1964Q4,7.669122,7.791688
1965Q1,7.691109,7.802782
1965Q2,7.702104,7.813794
1965Q3,7.71913,7.840942
1965Q4,7.746863,7.860995
1966Q1,7.761532,7.870319
1966Q2,7.764084,7.872722
1966Q3,7.775486,7.885254
1966Q4,7.779634,7.896627
1967Q1,7.78543,7.911471
1967Q2,7.798974,7.919647
1967Q3,7.804088,7.929162
1967Q4,7.810231,7.936446
1968Q1,7.833838,7.95374
1968Q2,7.849051,7.970222
1968Q3,7.86768,7.972225
1968Q4,7.872265,7.978791
1969Q1,7.883409,7.980503
1969Q2,7.889759,7.990543
1969Q3,7.894579,8.010658
1969Q4,7.902524,8.017934
1970Q1,7.908644,8.02293
1970Q2,7.913228,8.040286
1970Q3,7.921935,8.053696
1970Q4,7.919211,8.050416
1971Q1,7.93816,8.070062
1971Q2,7.94729,8.084963
1971Q3,7.955215,8.08939
1971Q4,7.971707,8.099919
1972Q1,7.984974,8.106183
1972Q2,8.003898,8.115551
1972Q3,8.019218,8.135816
1972Q4,8.04241,8.174844
1973Q1,8.06054,8.186102
1973Q2,8.060035,8.195941
1973Q3,8.063598,8.200947
1973Q4,8.060666,8.213084
1974Q1,8.051883,8.197621
1974Q2,8.055348,8.188995
1974Q3,8.059466,8.192128
1974Q4,8.044723,8.187577
1975Q1,8.05306,8.183649
1975Q2,8.069593,8.229324
1975Q3,8.083761,8.21571
1975Q4,8.094287,8.225771
1976Q1,8.114085,8.240385
1976Q2,8.123202,8.248581
1976Q3,8.133734,8.257567
1976Q4,8.146651,8.264724
1977Q1,8.158029,8.265522
1977Q2,8.163542,8.276853
1977Q3,8.17304,8.291747
1977Q4,8.187994,8.311693
1978Q1,8.193815,8.317864
1978Q2,8.214979,8.329272
1978Q3,8.219164,8.337373
1978Q4,8.227188,8.34517
1979Q1,8.232227,8.356062
1979Q2,8.231642,8.349035
1979Q3,8.241413,8.354745
1979Q4,8.244071,8.362712
1980Q1,8.242335,8.365486
1980Q2,8.21938,8.351398
1980Q3,8.230044,8.361638
1980Q4,8.243283,8.382083
1981Q1,8.248738,8.379791
1981Q2,8.248738,8.379906
1981Q3,8.252785,8.401872
1981Q4,8.245201,8.40389
1982Q1,8.251638,8.405054
1982Q2,8.255231,8.41201
1982Q3,8.262869,8.4164
1982Q4,8.280939,8.419889
1983Q1,8.290694,8.42775
1983Q2,8.310341,8.435007
1983Q3,8.327871,8.44992
1983Q4,8.343601,8.470332
1984Q1,8.35213,8.491957
1984Q2,8.366347,8.50904
1984Q3,8.374015,8.524487
1984Q4,8.387107,8.533952
1985Q1,8.403935,8.53149
1985Q2,8.412988,8.55115
1985Q3,8.43181,8.544945
1985Q4,8.434007,8.55524
1986Q1,8.442319,8.567088
1986Q2,8.452911,8.578382
1986Q3,8.470248,8.583599
1986Q4,8.476246,8.584197
1987Q1,8.474724,8.590332
1987Q2,8.488032,8.579417
1987Q3,8.499111,8.59715
1987Q4,8.501511,8.611248
1988Q1,8.518073,8.623731
1988Q2,8.52532,8.633072
1988Q3,8.533185,8.640737
1988Q4,8.544886,8.649712
1989Q1,8.548556,8.661016
1989Q2,8.553024,8.65692
1989Q3,8.563332,8.663369
1989Q4,8.568209,8.670995
1990Q1,8.576085,8.678478
1990Q2,8.579379,8.685061
1990Q3,8.583168,8.685771
1990Q4,8.575368,8.679006
1991Q1,8.572514,8.68208
1991Q2,8.580112,8.68965
1991Q3,8.583917,8.691751
1991Q4,8.583468,8.698247
1992Q1,8.600523,8.713237
1992Q2,8.60643,8.720868
1992Q3,8.617419,8.725929
1992Q4,8.629557,8.740049
1993Q1,8.633589,8.725264
1993Q2,8.643138,8.740705
1993Q3,8.653942,8.742846
1993Q4,8.662799,8.757485
1994Q1,8.673872,8.753466
1994Q2,8.681266,8.770377
1994Q3,8.689246,8.777694
1994Q4,8.699065,8.790878
1995Q1,8.700231,8.797337
1995Q2,8.708392,8.797428
1995Q3,8.717289,8.804895
1995Q4,8.724305,8.810788
1996Q1,8.733417,8.821393
1996Q2,8.744663,8.832092
1996Q3,8.75062,8.840566
1996Q4,8.758742,8.846036
1997Q1,8.768761,8.854936
1997Q2,8.772796,8.862413
1997Q3,8.78966,8.873804
1997Q4,8.801033,8.887584
1998Q1,8.810937,8.910073
1998Q2,8.827996,8.924257
1998Q3,8.841173,8.934719
1998Q4,8.85639,8.942003
1999Q1,8.866201,8.948768
1999Q2,8.881822,8.951051
1999Q3,8.893765,8.957498
1999Q4,8.907775,8.97306
2000Q1,8.922832,8.99385
2000Q2,8.932186,9.004042
2000Q3,8.941925,9.014605
2000Q4,8.950727,9.0161
2001Q1,8.954712,9.023589
2001Q2,8.958476,9.020837
2001Q3,8.962866,9.045996
2001Q4,8.978408,9.034259
2002Q1,8.981845,9.060865
2002Q2,8.986922,9.066343
2002Q3,8.993676,9.062907
2002Q4,8.997221,9.065268
2003Q1,9.002369,9.068927
2003Q2,9.011621,9.083926
2003Q3,9.025468,9.097776
2003Q4,9.030974,9.103468
2004Q1,9.040453,9.107854
2004Q2,9.045843,9.117677
2004Q3,9.054365,9.124336
2004Q4,9.0658,9.138135
2005Q1,9.07326,9.125828
2005Q2,9.082836,9.132703
2005Q3,9.089934,9.13863
2005Q4,9.092514,9.144062
2006Q1,9.10349,9.162599
2006Q2,9.108861,9.171319
2006Q3,9.115007,9.176008
2006Q4,9.124957,9.188994
2007Q1,9.13401,9.193215
2007Q2,9.136855,9.194485
2007Q3,9.14159,9.198662
2007Q4,9.144585,9.198895
2008Q1,9.143089,9.192869
2008Q2,9.143239,9.216223
2008Q3,9.134291,9.194038
2008Q4,9.126448,9.202349
2009Q1,9.127958,9.202953
2009Q2,9.125762,9.21806
2009Q3,9.13266,9.208779
2009Q4,9.13664,9.21119
