,x
1,2033.061
2,2027.639
3,2023.452
4,2055.103
5,2086.017
6,2120.45
7,2132.598
8,2134.981
9,2105.562
10,2098.38
11,2120.044
12,2102.251
13,2184.872
14,2251.507
15,2338.514
16,2383.291
17,2415.66
18,2457.517
19,2508.166
20,2513.69
21,2540.55
22,2546.022
23,2564.401
24,2648.621
25,2697.855
26,2718.709
27,2703.411
28,2662.482
29,2649.755
30,2652.643
31,2682.601
32,2735.091
33,2813.212
34,2858.988
35,2897.598
36,2914.993
37,2903.671
38,2927.665
39,2925.035
40,2973.179
41,2992.219
42,2985.663
43,3014.919
44,2983.727
45,2906.274
46,2925.379
47,2993.068
48,3063.085
49,3121.936
50,3192.38
51,3194.653
52,3203.759
53,3275.757
54,3258.088
55,3274.029
56,3232.009
57,3253.826
58,3309.059
59,3372.581
60,3438.721
61,3500.054
62,3531.683
63,3575.07
64,3586.827
65,3625.981
66,3666.669
67,3747.278
68,3771.845
69,3851.366
70,3893.296
71,3954.121
72,3966.335
73,4062.311
74,4113.629
75,4205.086
76,4301.973
77,4406.693
78,4421.747
79,4459.195
80,4495.777
81,4535.591
82,4538.37
83,4581.309
84,4615.853
85,4709.993
86,4788.688
87,4825.799
88,4844.779
89,4920.605
90,4935.564
91,4968.164
92,4943.935
93,4936.594
94,4943.6
95,4989.159
96,4935.693
97,5069.746
98,5097.179
99,5139.128
100,5151.245
101,5245.974
102,5365.045
103,5415.712
104,5506.396
105,5642.669
106,5704.098
107,5674.1
108,5727.96
109,5678.713
110,5692.21
111,5638.411
112,5616.526
113,5548.156
114,5587.8
115,5683.444
116,5759.972
117,5889.5
118,5932.711
119,5965.265
120,6008.504
121,6079.494
122,6197.686
123,6309.514
124,6309.652
125,6329.791
126,6574.39
127,6640.497
128,6729.755
129,6741.854
130,6749.063
131,6799.2
132,6816.203
133,6837.641
134,6696.753
135,6688.794
136,6813.535
137,6947.042
138,6895.559
139,6978.135
140,6902.105
141,6794.878
142,6825.876
143,6799.781
144,6802.497
145,6892.144
146,7048.982
147,7189.896
148,7339.893
149,7483.371
150,7612.668
151,7686.059
152,7749.151
153,7824.247
154,7893.136
155,8013.674
156,8073.239
157,8148.603
158,8185.303
159,8263.639
160,8308.021
161,8369.93
162,8460.233
163,8533.635
164,8680.162
165,8725.006
166,8839.641
167,8891.435
168,9009.913
169,9101.508
170,9170.977
171,9238.923
172,9257.128
173,9358.289
174,9392.251
175,9398.499
176,9312.937
177,9269.367
178,9341.642
179,9388.845
180,9421.565
181,9534.346
182,9637.732
183,9732.979
184,9834.51
185,9850.973
186,9908.347
187,9955.641
188,10091.049
189,10188.954
190,10327.019
191,10387.382
192,10506.372
193,10543.644
194,10575.1
195,10665.06
196,10737.478
197,10817.896
198,10998.322
199,11096.976
200,11212.205
201,11284.587
202,11472.137
203,11615.636
204,11715.393
205,11832.486
206,11942.032
207,12091.614
208,12287
209,12403.293
210,12498.694
211,12662.385
212,12877.593
213,12924.179
214,13160.842
215,13178.419
216,13260.506
217,13222.69
218,13299.984
219,13244.784
220,13280.859
221,13397.002
222,13478.152
223,13538.072
224,13559.032
225,13634.253
226,13751.543
227,13985.073
228,14145.645
229,14221.147
230,14329.523
231,14464.984
232,14609.876
233,14771.602
234,14839.782
235,14972.054
236,15066.597
237,15267.026
238,15302.705
239,15326.368
240,15456.928
241,15493.328
242,15582.085
243,15666.738
244,15761.967
245,15671.383
246,15752.308
247,15667.032
248,15328.027
249,15155.94
250,15134.117
251,15189.222
252,15356.058
253,15415.145
254,15557.277
255,15671.967
256,15750.625
257,15712.754
258,15825.096
259,15820.7
260,16004.107
261,16129.418
262,16198.807
263,16220.667
264,16239.138
265,16382.964
266,16403.18
267,16531.685
268,16663.649
269,16621.696
270,16830.111
271,17033.572
272,17113.945
273,17254.744
274,17397.029
275,17438.802
276,17456.225
277,17523.374
278,17622.486
279,17706.705
280,17784.185
281,17863.023
282,17995.15
283,18120.843
284,18223.758
285,18323.963
286,18511.576
287,18671.497
