,gtemp_land
1,-0.62
2,-0.45
3,-0.47
4,-0.62
5,-0.82
6,-0.7
7,-0.7
8,-0.69
9,-0.63
10,-0.32
11,-0.62
12,-0.54
13,-0.5
14,-0.55
15,-0.42
16,-0.39
17,-0.34
18,-0.22
19,-0.36
20,-0.14
21,-0.06
22,-0.03
23,-0.3
24,-0.29
25,-0.43
26,-0.28
27,-0.06
28,-0.52
29,-0.31
30,-0.3
31,-0.25
32,-0.32
33,-0.41
34,-0.25
35,0.04
36,0.01
37,-0.32
38,-0.57
39,-0.38
40,-0.22
41,-0.22
42,0.03
43,-0.16
44,-0.1
45,-0.08
46,0
47,0.16
48,-0.06
49,0.06
50,-0.35
51,0.05
52,0.1
53,0.09
54,-0.25
55,0.07
56,-0.1
57,-0.04
58,0.04
59,0.23
60,0.15
61,0.09
62,0.12
63,0.1
64,0.11
65,0.22
66,-0.07
67,0.05
68,0.13
69,0.1
70,-0.03
71,-0.29
72,-0.06
73,-0.02
74,0.23
75,-0.12
76,-0.07
77,-0.4
78,0.01
79,0.12
80,0.05
81,-0.08
82,0.14
83,0.08
84,0.19
85,-0.27
86,-0.13
87,-0.03
88,0.02
89,-0.13
90,-0.1
91,0.05
92,-0.05
93,-0.13
94,0.3
95,-0.15
96,0.12
97,-0.28
98,0.21
99,0.04
100,0.1
101,0.35
102,0.53
103,0.04
104,0.42
105,0.1
106,0.05
107,0.24
108,0.4
109,0.62
110,0.38
111,0.63
112,0.59
113,0.24
114,0.24
115,0.45
116,0.74
117,0.42
118,0.62
119,0.95
120,0.73
121,0.63
122,0.81
123,1
124,0.9
125,0.77
126,1.08
127,0.91
128,1.15
129,0.82
130,0.91
131,1.07
132,0.92
133,0.92
134,1.01
135,1.03
136,1.26
137,1.44
138,1.35
