Date,OcuRate
ene-82,79.0    
abr-82,65.9    
jul-82,70.9    
oct-82,66.7    
ene-83,75.2    
abr-83,68.1    
jul-83,71.7    
oct-83,66.5    
ene-84,84.0    
abr-84,75.6    
jul-84,74.6    
oct-84,75.1    
ene-85,88.1    
abr-85,69.1    
jul-85,75.0    
oct-85,72.5    
ene-86,87.0    
abr-86,78.8    
jul-86,79.9    
oct-86,76.8    
ene-87,88.0    
abr-87,77.1    
jul-87,82.1    
oct-87,77.8    
ene-88,81.7    
abr-88,75.1    
jul-88,81.3    
oct-88,75.1    
ene-89,85.9    
abr-89,73.9    
jul-89,81.0    
oct-89,75.7    
ene-90,83.9    
abr-90,75.5    
jul-90,81.0    
oct-90,74.3    
ene-91,68.2    
abr-91,70.7    
jul-91,79.7    
oct-91,72.5    
ene-92,75.3    
abr-92,68.6    
jul-92,75.5    
oct-92,75.2    
ene-93,75.3    
abr-93,67.9    
jul-93,73.8    
oct-93,72.5    
ene-94,80.9    
abr-94,72.7    
jul-94,79.1    
oct-94,74.8    
ene-95,79.5    
abr-95,70.3    
jul-95,79.2    
oct-95,75.1    
ene-96,81.9    
abr-96,72.3    
jul-96,77.1    
oct-96,70.0    
ene-97,79.5    
abr-97,70.8    
jul-97,75.5    
oct-97,69.9    
ene-98,77.4    
abr-98,68.7    
jul-98,72.9    
oct-98,67.7    
ene-99,77.0    
abr-99,67.7    
jul-99,75.0    
oct-99,68.7    
ene-00,79.2    
abr-00,75.2    
jul-00,78.5    
oct-00,73.1    
ene-01,80.7    
abr-01,70.7    
jul-01,70.3    
oct-01,57.2    
ene-02,71.7    
abr-02,67.9    
jul-02,72.5    
oct-02,67.1    
ene-03,74.4    
abr-03,67.1    
jul-03,77.4    
oct-03,71.3    
ene-04,80.2    
abr-04,75.7    
jul-04,81.5    
oct-04,73.4    
ene-05,83.8    
abr-05,78.4    
jul-05,84.8    
oct-05,77.2    
ene-06,83.6    
abr-06,78.2    
jul-06,82.5    
oct-06,74.1    
ene-07,77.5    
abr-07,72.0    
jul-07,78.6    
oct-07,72.0    
ene-08,78.7    
abr-08,68.8    
jul-08,70.5    
oct-08,63.8    
ene-09,66.7    
abr-09,63.7    
jul-09,67.3    
oct-09,63.5    
ene-10,70.6    
abr-10,67.3    
jul-10,75.2    
oct-10,69.5    
ene-11,76.6    
abr-11,68.6    
jul-11,76.1    
oct-11,71.9    
ene-12,80.3    
abr-12,73.8    
jul-12,78.9    
oct-12,74.5    
ene-13,82.0    
abr-13,74.2    
jul-13,77.8    
oct-13,72.3    
ene-14,80.8    
abr-14,74.0    
jul-14,78.7    
oct-14,74.7    
ene-15,80.0    
abr-15,77.7    
jul-15,79.4    
oct-15,77.8    
ene-16,80.7    
abr-16,77.5    
jul-16,80.5    
oct-16,77.5    
ene-17,81.4    
abr-17,79.4    
jul-17,81.4    
oct-17,78.6    
ene-18,83.5    
abr-18,81.1    
jul-18,80.1    
oct-18,76.4    
ene-19,80.5    
abr-19,80.3    
jul-19,82.8    
oct-19,79.6    
ene-20,70.4    
abr-20,14.7    
jul-20,21.7    
oct-20,22.0    
ene-21,32.2    
abr-21,63.1    
jul-21,70.2    
oct-21,62.4    
ene-22,70.8    
abr-22,75.3    
jul-22,77.4    
