Date,hstarts
ene-46,57
feb-46,65
mar-46,95
abr-46,103
may-46,103
jun-46,97
jul-46,94
ago-46,96
sep-46,88
oct-46,86
nov-46,72
dic-46,59
ene-47,58
feb-47,65
mar-47,84
abr-47,101
may-47,109
jun-47,115
jul-47,121
ago-47,129
sep-47,139
oct-47,139
nov-47,118
dic-47,87
ene-48,78
feb-48,73
mar-48,112
abr-48,145
may-48,146
jun-48,142
jul-48,137
ago-48,125
sep-48,118
oct-48,105
nov-48,90
dic-48,73
ene-49,69
feb-49,70
mar-49,96
abr-49,124
may-49,133
jun-49,132
jul-49,134
ago-49,139
sep-49,144
oct-49,146
nov-49,133
dic-49,110
ene-50,110
feb-50,116
mar-50,164
abr-50,185
may-50,206
jun-50,201
jul-50,197
ago-50,194
sep-50,163
oct-50,141
nov-50,116
dic-50,115
ene-51,115
feb-51,107
mar-51,125
abr-51,128
may-51,135
jun-51,139
jul-51,120
ago-51,120
sep-51,130
oct-51,121
nov-51,99
dic-51,81
ene-52,84
feb-52,101
mar-52,127
abr-52,133
may-52,138
jun-52,132
jul-52,136
ago-52,130
sep-52,132
oct-52,132
nov-52,110
dic-52,91
ene-53,91
feb-53,99
mar-53,129
abr-53,142
may-53,139
jun-53,134
jul-53,125
ago-53,120
sep-53,120
oct-53,116
nov-53,104
dic-53,83
ene-54,84
feb-54,95
mar-54,120
abr-54,136
may-54,137
jun-54,145
jul-54,144
ago-54,144
sep-54,144
oct-54,140
nov-54,130
dic-54,113
ene-55,110
feb-55,110
mar-55,141
abr-55,163
may-55,169
jun-55,164
jul-55,151
ago-55,151
sep-55,140
oct-55,129
nov-55,109
dic-55,90
ene-56,90
feb-56,94
mar-56,115
abr-56,134
may-56,135
jun-56,127
jul-56,120
ago-56,124
sep-56,109
oct-56,110
nov-56,92
dic-56,75
ene-57,72
feb-57,76
mar-57,95
abr-57,108
may-57,115
jun-57,112
jul-57,111
ago-57,114
sep-57,106
oct-57,105
nov-57,88
dic-57,73
ene-58,74
feb-58,71
mar-58,90
abr-58,109
may-58,117
jun-58,118
jul-58,125
ago-58,132
sep-58,128
oct-58,128
nov-58,121
dic-58,101
ene-59,96.19999695
feb-59,99
mar-59,127.6999969
abr-59,150.8000031
may-59,152.5
jun-59,147.8000031
jul-59,148.1000061
ago-59,138.1999969
sep-59,136.3999939
oct-59,120
nov-59,104.6999969
dic-59,95.59999847
ene-60,86
feb-60,90.69999695
mar-60,90.5
abr-60,123
may-60,130.1999969
jun-60,122.8000031
jul-60,114.3000031
ago-60,130.3000031
sep-60,96.90000153
oct-60,110.4000015
nov-60,92.80000305
dic-60,64.19999695
ene-61,70.40000153
feb-61,74.09999847
mar-61,104.1999969
abr-61,112.8000031
may-61,127.5999985
jun-61,134.8000031
jul-61,126.5999985
ago-61,127.0999985
sep-61,125.4000015
oct-61,124.8000031
nov-61,103
dic-61,82.19999695
ene-62,81.19999695
feb-62,77.09999847
mar-62,116.1999969
abr-62,147.8000031
may-62,155.1999969
jun-62,136.8000031
jul-62,136.5
ago-62,147.6999969
sep-62,114.3000031
oct-62,135.1999969
nov-62,120.9000015
dic-62,93.90000153
ene-63,79
feb-63,89.59999847
mar-63,124.8000031
abr-63,164.1999969
may-63,172.6999969
jun-63,154.1999969
jul-63,151.3000031
ago-63,144
sep-63,143.6999969
oct-63,165.3000031
nov-63,119.3000031
dic-63,95
ene-64,97.90000153
feb-64,101.3000031
mar-64,129.1000061
abr-64,147.1000061
may-64,152.8000031
jun-64,157.1999969
jul-64,140.6000061
ago-64,138.3000031
sep-64,119.8000031
oct-64,141.1999969
nov-64,110.5999985
dic-64,93
ene-65,81.69999695
feb-65,80.90000153
mar-65,119.9000015
abr-65,148.6000061
may-65,153.3000031
jun-65,151.8000031
jul-65,139.1000061
ago-65,128.3000031
sep-65,124.5999985
oct-65,133.1000061
nov-65,110.5
dic-65,101.0999985
ene-66,79.40000153
feb-66,76.19999695
mar-66,118.0999985
abr-66,140.8999939
may-66,130
jun-66,120.5999985
jul-66,99.19999695
ago-66,101.8000031
sep-66,89.09999847
oct-66,76.59999847
nov-66,72.80000305
dic-66,60.20000076
ene-67,59.09999847
feb-67,61.40000153
mar-67,91.5
abr-67,113.6999969
may-67,132
jun-67,125.4000015
jul-67,125.3000031
ago-67,127.4000015
sep-67,121.9000015
oct-67,135.3999939
nov-67,118.4000015
dic-67,80.09999847
ene-68,80.5
feb-68,84.59999847
mar-68,126.5999985
abr-68,162
may-68,140.8999939
jun-68,137.8999939
jul-68,139.8000031
ago-68,136.6000061
sep-68,134.1999969
oct-68,140.8000031
nov-68,127.0999985
dic-68,96.40000153
ene-69,101.5
feb-69,90.09999847
mar-69,131.8999939
abr-69,159
may-69,155.5
jun-69,147.3000031
jul-69,125.1999969
ago-69,124.9000015
sep-69,129.3000031
oct-69,123.4000015
nov-69,94.59999847
dic-69,84.09999847
ene-70,66.40000153
feb-70,74.30000305
mar-70,114.6999969
abr-70,128.3999939
may-70,125
jun-70,135.1999969
jul-70,140.8000031
ago-70,128.6999969
sep-70,130.8999939
oct-70,140.8999939
nov-70,126.9000015
dic-70,121.4000015
ene-71,110.5999985
feb-71,102.1999969
mar-71,167.8999939
abr-71,201.1000061
may-71,198.5
jun-71,193.8000031
jul-71,194.3000031
ago-71,204.5
sep-71,173.8000031
oct-71,179.6999969
nov-71,173.6999969
dic-71,152.1000061
ene-72,149.1000061
feb-72,152.1999969
mar-72,203.8999939
abr-72,211.6000061
may-72,225.8000031
jun-72,223.1000061
jul-72,206.5
ago-72,228.6000061
sep-72,203
oct-72,216.5
nov-72,185.6999969
dic-72,150.5
ene-73,146.6000061
feb-73,138
mar-73,200
abr-73,205
may-73,234
jun-73,202.6000061
jul-73,202.6000061
ago-73,197.1999969
sep-73,148.3999939
oct-73,147.1000061
nov-73,133.3000031
dic-73,90.40000153
ene-74,84.5
feb-74,109.4000015
mar-74,124.8000031
abr-74,159.5
may-74,149
jun-74,147.6000061
jul-74,126.5999985
ago-74,111.0999985
sep-74,98.30000305
oct-74,96.69999695
nov-74,75.09999847
dic-74,55.09999847
ene-75,56.09999847
feb-75,54.70000076
mar-75,80.19999695
abr-75,97.90000153
may-75,116.0999985
jun-75,110.3000031
jul-75,119.3000031
ago-75,117.3000031
sep-75,111.9000015
oct-75,123.5999985
nov-75,96.90000153
dic-75,76.09999847
ene-76,72.5
feb-76,89.90000153
mar-76,118.4000015
abr-76,137.1999969
may-76,147.8999939
jun-76,154.1999969
jul-76,136.6000061
ago-76,145.8999939
sep-76,151.8000031
oct-76,148.3999939
nov-76,127.0999985
dic-76,107.4000015
ene-77,81.30000305
feb-77,112.5
mar-77,173.6000061
abr-77,182.1999969
may-77,201.3000031
jun-77,197.6000061
jul-77,189.8000031
ago-77,194
sep-77,177.6999969
oct-77,193.1000061
nov-77,154.8000031
dic-77,129.1999969
ene-78,88.59999847
feb-78,101.3000031
mar-78,172.1000061
abr-78,197.5
may-78,211
jun-78,216
jul-78,192.1999969
ago-78,190.8999939
sep-78,180.5
oct-78,192.1000061
nov-78,158.6000061
dic-78,119.5
ene-79,88.19999695
feb-79,84.5
mar-79,152.8999939
abr-79,161
may-79,189.1000061
jun-79,191.8000031
jul-79,164.1999969
ago-79,170.3000031
sep-79,163.6999969
oct-79,169
nov-79,118.6999969
dic-79,91.59999847
ene-80,73.09999847
feb-80,79.90000153
mar-80,85.09999847
abr-80,96.19999695
may-80,91.69999695
jun-80,116.4000015
jul-80,120.0999985
ago-80,129.8999939
sep-80,138.3000031
oct-80,152.6999969
nov-80,112.9000015
dic-80,95.90000153
ene-81,84.5
feb-81,71.90000153
mar-81,107.8000031
abr-81,123
may-81,109.9000015
jun-81,105.8000031
jul-81,99.90000153
ago-81,86.30000305
sep-81,84.09999847
oct-81,87.19999695
nov-81,64.59999847
dic-81,59.09999847
ene-82,47.20000076
feb-82,51.29999924
mar-82,78.19999695
abr-82,84.09999847
may-82,98.80000305
jun-82,91.09999847
jul-82,106.8000031
ago-82,96
sep-82,106.4000015
oct-82,110.5
nov-82,108.9000015
dic-82,82.90000153
ene-83,91.30000305
feb-83,96.30000305
mar-83,134.6000061
abr-83,135.8000031
may-83,174.8999939
jun-83,173.1999969
jul-83,161.6000061
ago-83,176.8000031
sep-83,154.8999939
oct-83,159.3000031
nov-83,136
