Date,rtn
ene-73,0.01005
feb-73,-0.1393
mar-73,0.06936
abr-73,0.08649
may-73,-0.10448
jun-73,0.13333
jul-73,0.625
ago-73,0.11765
sep-73,0.23482
oct-73,0.14426
nov-73,-0.24069
dic-73,0.18868
ene-74,0.13968
feb-74,0.15599
mar-74,-0.16386
abr-74,0.16282
may-74,0.1487
jun-74,-0.14887
jul-74,-0.44867
ago-74,-0.15172
sep-74,-0.39024
oct-74,0.61333
nov-74,-0.1157
dic-74,-0.14019
ene-75,0.33696
feb-75,0.46341
mar-75,0.18333
abr-75,0.24413
may-75,0.04528
jun-75,0.01805
jul-75,-0.12057
ago-75,0.1129
sep-75,0.08333
oct-75,-0.02676
nov-75,0.02062
dic-75,-0.01347
ene-76,0.17065
feb-76,0.09329
mar-76,0.17067
abr-76,-0.03303
may-76,-0.01413
jun-76,-0.02151
jul-76,-0.03663
ago-76,-0.06844
sep-76,-0.00816
oct-76,-0.09877
nov-76,0.03653
dic-76,0.05286
ene-77,-0.10042
feb-77,0.0093
mar-77,-0.12903
abr-77,-0.10582
may-77,0.02367
jun-77,0.15029
jul-77,0
ago-77,-0.05025
sep-77,0.04233
oct-77,-0.11168
nov-77,0.05714
dic-77,-0.01081
ene-78,-0.01093
feb-78,-0.12155
mar-78,0.06289
abr-78,0.23669
may-78,0.06699
jun-78,0.07175
jul-78,0.12448
ago-78,0.04651
sep-78,-0.02667
oct-78,-0.13699
nov-78,0.05291
dic-78,0.01005
ene-79,0.08955
feb-79,0.04566
mar-79,0.131
abr-79,0.0251
may-79,0.05085
jun-79,0.1129
jul-79,-0.02899
ago-79,0.1393
sep-79,0.0917
oct-79,-0.004
nov-79,0.10843
dic-79,-0.01449
ene-80,0.00735
feb-80,0.05109
mar-80,-0.13542
abr-80,-0.00803
may-80,0.10931
jun-80,-0.03285
jul-80,0.28302
ago-80,0.03088
sep-80,0.01854
oct-80,-0.05602
nov-80,0.10979
dic-80,-0.13369
ene-81,-0.07716
feb-81,-0.0602
mar-81,0.03559
abr-81,0.04124
may-81,0.08581
jun-81,-0.12158
jul-81,-0.06228
ago-81,-0.16974
sep-81,-0.13333
oct-81,0.17436
nov-81,-0.12227
dic-81,-0.0995
ene-82,0.1547
feb-82,-0.01914
mar-82,0.12683
abr-82,0.09524
may-82,-0.03557
jun-82,0.02869
jul-82,0.03187
ago-82,0.139
sep-82,-0.10847
oct-82,0.12928
nov-82,0.0303
dic-82,0.01307
ene-83,0.10968
feb-83,0.0814
mar-83,0.03763
abr-83,0.02591
may-83,0.15657
jun-83,0.30131
jul-83,0.08054
ago-83,0.01863
sep-83,0.0061
oct-83,-0.08485
nov-83,0.10596
dic-83,0.00599
ene-84,-0.125
feb-84,0.01361
mar-84,-0.03356
abr-84,-0.02778
may-84,-0.11786
jun-84,-0.02024
jul-84,0.00826
ago-84,0.18033
sep-84,-0.13889
oct-84,-0.10484
nov-84,0.02703
dic-84,-0.01754
ene-85,0.09821
feb-85,-0.08943
mar-85,-0.00893
abr-85,-0.00901
may-85,-0.04091
jun-85,-0.01422
jul-85,0.08654
ago-85,-0.07965
sep-85,-0.00962
oct-85,-0.00971
nov-85,0.11765
dic-85,0.02632
ene-86,-0.03419
feb-86,-0.0177
mar-86,-0.06306
abr-86,0.09615
may-86,-0.04386
jun-86,-0.15596
jul-86,-0.20652
ago-86,0.26027
sep-86,-0.15217
oct-86,0.03846
nov-86,0.1358
dic-86,-0.08696
ene-87,0.4881
feb-87,0.216
mar-87,0.03289
abr-87,0.19745
may-87,-0.06649
jun-87,0.00285
jul-87,0.08523
ago-87,0.10471
sep-87,0.09479
oct-87,-0.32468
nov-87,-0.17308
dic-87,0.23256
ene-88,-0.03774
feb-88,0.10784
mar-88,0.03982
abr-88,0.05532
may-88,-0.00806
jun-88,0.1748
jul-88,-0.03806
ago-88,-0.19424
sep-88,-0.01786
oct-88,-0.1
nov-88,-0.18182
dic-88,0.17284
ene-89,0.09474
feb-89,-0.00962
mar-89,0.01942
abr-89,0.10476
may-89,0.12069
jun-89,-0.10769
jul-89,0.05172
ago-89,-0.01639
sep-89,0.075
oct-89,0.04651
nov-89,0.02963
dic-89,-0.00719
ene-90,0.14493
feb-90,0.01899
mar-90,0.03727
abr-90,-0.05389
may-90,0.22152
jun-90,-0.02591
jul-90,-0.05319
ago-90,-0.25
sep-90,-0.00375
oct-90,0.00752
nov-90,0.1194
dic-90,0.02667
ene-91,0.18831
feb-91,0.04372
mar-91,-0.02094
abr-91,0.05348
may-91,0.13198
jun-91,-0.16592
jul-91,0.01075
ago-91,0.05319
sep-91,-0.14646
oct-91,-0.03846
nov-91,0.00923
dic-91,0.19512
ene-92,0.22194
feb-92,0.06054
mar-92,-0.12992
abr-92,-0.03167
may-92,-0.06542
jun-92,0.14
jul-92,0.04825
ago-92,-0.02929
sep-92,0.13362
oct-92,0.02814
nov-92,0.05926
dic-92,0.21678
ene-93,0.22816
feb-93,0.09133
mar-93,-0.01288
abr-93,-0.17196
may-93,0.16557
jun-93,-0.00789
jul-93,-0.04909
ago-93,0.22967
sep-93,0.10117
oct-93,-0.1053
nov-93,-0.02767
dic-93,0.00813
ene-94,0.05323
feb-94,0.05364
mar-94,-0.01818
abr-94,-0.09556
may-94,0.02459
jun-94,-0.064
jul-94,0.01393
ago-94,0.1097
sep-94,-0.06464
oct-94,0.01114
nov-94,0.0161
dic-94,0.01188
ene-95,0.08705
feb-95,0.14955
mar-95,0.06426
abr-95,0.20689
may-95,0.09646
jun-95,0.12806
jul-95,0.02729
ago-95,-0.05577
sep-95,-0.01833
oct-95,0.16041
nov-95,-0.1288
dic-95,-0.06776
ene-96,-0.026
feb-96,0.06478
mar-96,-0.03294
abr-96,0.19191
may-96,0.11439
jun-96,-0.02732
jul-96,0.02366
ago-96,0.0624
sep-96,0.19577
oct-96,0.1518
nov-96,0.15472
dic-96,0.03202
ene-97,0.23952
feb-97,-0.12558
mar-97,-0.01938
abr-97,0.10099
may-97,-0.01061
jun-97,-0.06394
jul-97,0.29527
ago-97,0.0034
sep-97,0.00204
oct-97,-0.16555
nov-97,0.00812
dic-97,-0.09501
ene-98,0.15345
feb-98,0.10725
mar-98,-0.12962
abr-98,0.03561
may-98,-0.11601
jun-98,0.03762
jul-98,0.13912
ago-98,-0.15657
sep-98,0.20457
oct-98,0.04009
nov-98,0.20718
dic-98,0.10163
ene-99,0.18872
feb-99,-0.14872
mar-99,-0.00886
abr-99,0.02944
may-99,-0.11596
jun-99,0.10058
jul-99,0.15966
ago-99,0.19156
sep-99,-0.09582
oct-99,0.04205
nov-99,-0.0093
dic-99,0.07335
ene-00,0.20197
feb-00,0.14244
mar-00,0.16759
abr-00,-0.03884
may-00,-0.01652
jun-00,0.07218
jul-00,-0.0014
ago-00,0.12195
sep-00,-0.44491
oct-00,0.08271
nov-00,-0.15372
dic-00,-0.21018
ene-01,0.23077
feb-01,-0.2275
mar-01,-0.07877
abr-01,0.17473
may-01,-0.12553
jun-01,0.08293
jul-01,0.01915
ago-01,-0.06139
sep-01,-0.26896
oct-01,0.19472
nov-01,0.33825
dic-01,-0.03705
ene-02,0.11415
feb-02,-0.18465
mar-02,0.06515
abr-02,-0.05919
may-02,-0.0339
jun-02,-0.33852
jul-02,0.02846
ago-02,-0.11176
sep-02,-0.16677
oct-02,0.2455
nov-02,0.20809
dic-02,-0.25431
ene-03,0.00835
feb-03,0.10064
mar-03,-0.05678
abr-03,0.12838
may-03,0.13446
jun-03,-0.00048
jul-03,0.19606
ago-03,0.14946
sep-03,-0.03743
oct-03,0.19731
nov-03,0.01851
dic-03,-0.04442
