Date,nyse
1,0.03523
2,0.01189
3,0.00231
4,0.00733
5,-0.06
6,0.01194
7,-0.00766
8,0.00192
9,0.00028
10,0.02399
11,0.00024
12,-0.00768
13,-0.02417
14,0.00175
15,0.01235
16,0.02078
17,-0.00817
18,-0.00021
19,0.01376
20,0.01296
21,-0.00455
22,0.00224
23,-0.01147
24,0.00038
25,-0.0027
26,-0.00711
27,0.00983
28,0.01805
29,-0.00173
30,0.00562
31,0.00831
32,-0.00223
33,-0.00386
34,0.01276
35,0.01354
36,-0.0012
37,-0.00061
38,-0.00831
39,0.00282
40,0.01903
41,-0.00189
42,0.00348
43,0.00018
44,-0.00177
45,0.00109
46,0.00712
47,-0.00035
48,-0.01705
49,0.00294
50,0.00424
51,-0.0005
52,0.00841
53,0.00924
54,-0.00021
55,-0.00746
56,0.00035
57,0.00199
58,-0.01867
59,-0.01567
60,-0.0032
61,0.00739
62,-0.00657
63,0.00278
64,-0.00916
65,0.00736
66,0.02374
67,0.00298
68,0.01163
69,0.00309
70,0.00489
71,0.00009
72,-0.03901
73,-0.0013
74,-0.00157
75,-0.00366
76,-0.00659
77,0.00011
78,0.01228
79,0.00806
80,0.00577
81,0.00012
82,-0.00442
83,-0.003
84,0.0001
85,0.00522
86,-0.00834
87,-0.00534
88,-0.00392
89,-0.00332
90,0.00318
91,-0.01518
92,0.00251
93,0.01
94,0.00679
95,-0.01009
96,-0.01476
97,0.00372
98,0.00191
99,-0.00715
100,0.00912
101,0.00213
102,0.0033
103,-0.00364
104,0.03004
105,0.01708
106,-0.00423
107,0.00432
108,0.00217
109,-0.00543
110,0.02103
111,-0.00221
112,0.00309
113,0.00095
114,0.00971
115,0.0009
116,-0.01388
117,0.00225
118,-0.00541
119,0.00886
120,0.01328
121,-0.00159
122,-0.00247
123,-0.01445
124,0.00999
125,-0.00397
126,0.00868
127,-0.00442
128,0.01256
129,-0.01209
130,-0.00029
131,-0.00498
132,0.00132
133,-0.00864
134,0.00363
135,0.00299
136,0.00541
137,-0.00482
138,-0.00679
139,0.00499
140,-0.01066
141,-0.01094
142,0.0035
143,0.00211
144,-0.00843
145,0.01119
146,0.01907
147,0.00194
148,0.00027
149,0.00321
150,-0.00249
151,-0.00291
152,-0.00348
153,-0.01117
154,-0.01641
155,0.00254
156,-0.00068
157,-0.01245
158,0.0062
159,0.00118
160,0.00134
161,-0.00144
162,-0.01122
163,-0.00007
164,0.01371
165,-0.00633
166,0.00188
167,0.00955
168,0.00122
169,-0.00233
170,-0.01084
171,0.02034
172,0.00389
173,0.00122
174,0.00068
175,0.00328
176,-0.00109
177,0.00301
178,0.00622
179,-0.00336
180,0.00758
181,-0.00497
182,0.00332
183,0.00177
184,-0.0038
185,0.00243
186,-0.00254
187,-0.00218
188,0.00303
189,0.01149
190,-0.00109
191,-0.00177
192,-0.00176
193,0.00447
194,0.00198
195,0.01853
196,0.00133
197,-0.00108
198,-0.01265
199,0.0034
200,0.00108
201,0.00243
202,0.00907
203,-0.00732
204,0.01816
205,0.00237
206,-0.00293
207,0.0003
208,-0.00304
209,-0.01333
210,0.00359
211,0.00093
212,0.00092
213,0.0001
214,0.00078
215,-0.00787
216,-0.00865
217,0.00359
218,-0.00534
219,0.00121
220,-0.01835
221,-0.00123
222,0.00217
223,-0.01555
224,0.00155
225,0.00677
226,-0.00053
227,0.00311
228,0.00623
229,-0.00515
230,0.0043
231,0.0085
232,0.00932
233,-0.00271
234,-0.00217
235,0.00922
236,0.0088
237,0.00186
238,-0.00474
239,0.00162
240,-0.00133
241,-0.001
242,-0.0032
243,-0.0035
244,0.00613
245,0.00784
246,-0.00349
247,-0.00011
248,-0.00091
249,0.00405
250,-0.0029
251,0.00151
252,0.00679
253,-0.00314
254,-0.00846
255,0.01354
256,0.00273
257,0.00298
258,0.00151
259,-0.00198
260,0.00513
261,0.00397
262,0.00187
263,0.00155
264,-0.00149
265,0.00937
266,0.00144
267,-0.00033
268,-0.00585
269,0.01116
270,0.00243
271,0.00819
272,0.00703
273,0.0036
274,0.0079
275,-0.00052
276,-0.00039
277,0.0013
278,-0.00132
279,0.01081
280,-0.00153
281,-0.00731
282,-0.01247
283,0.00111
284,-0.0011
285,0.00772
286,0.00203
287,0.00573
288,-0.00189
289,-0.01501
290,0.00314
291,-0.01402
292,0.00135
293,0.00354
294,-0.00397
295,0.00881
296,0.00403
297,0.01072
298,-0.00164
299,0.00111
300,-0.00043
301,-0.00272
302,0.00686
303,-0.00031
304,0.0043
305,0.00835
306,-0.02017
307,-0.00948
308,0.00425
309,-0.00243
310,-0.00435
311,0.0043
312,0.00363
313,0.00255
314,0.00079
315,0.00801
316,0.00468
317,-0.00222
318,0.00295
319,-0.00253
320,0.0057
321,-0.00002
322,0.00405
323,0.00161
324,-0.0074
325,0.01373
326,0.0007
327,0.01211
328,0.00391
329,-0.0018
330,0.00796
331,-0.00156
332,-0.00467
333,0.0012
334,0.00739
335,0.00059
336,-0.00153
337,-0.00191
338,-0.00001
339,-0.00044
340,-0.00004
341,-0.00475
342,-0.00178
343,0.002
344,0.00327
345,0.01953
346,0.00732
347,-0.00143
348,0.00615
349,0.00187
350,0.00838
351,0.00342
352,-0.00942
353,0.00205
354,0.00076
355,0.00724
356,-0.00623
357,0.00423
358,0.00466
359,0.0101
360,-0.00829
361,0.00541
362,0.008
363,0.00009
364,0.00004
365,-0.00075
366,-0.00645
367,-0.00053
368,-0.01032
369,0.00312
370,0.00153
371,-0.00135
372,-0.00164
373,0.0045
374,0.01532
375,-0.00287
376,0.00543
377,-0.00618
378,-0.01764
379,-0.00435
380,0.00382
381,0.00408
382,0.0035
383,0.00966
384,0.0062
385,0.00533
386,0.00352
387,0.00112
388,0.00411
389,0.00218
390,-0.00257
391,0.01129
392,-0.00516
393,0.00513
394,-0.00516
395,0.00047
396,0.01086
397,0.01053
398,0.00157
399,0.01071
400,-0.00481
401,0.00248
402,0.00211
403,-0.00235
404,0.01342
405,0.0006
406,-0.00474
407,0.00394
408,-0.0083
409,-0.00462
410,0.00397
411,0.00327
412,-0.0033
413,0.00336
414,-0.01293
415,0.00032
416,0.00937
417,0.01804
418,-0.00185
419,0.00347
420,-0.0048
421,0.00269
422,0.00158
423,0.006
424,-0.00235
425,-0.00841
426,-0.00194
427,0.00067
428,-0.00292
429,0.00343
430,-0.00815
431,-0.00712
432,0.00284
433,0.00449
434,0.00097
435,-0.00033
436,-0.00116
437,0.00298
438,-0.00704
439,0.00131
440,0.00167
441,0.00908
442,0.00222
443,0.00467
444,0.01042
445,0.00562
446,0.00055
447,0.00481
448,0.00199
449,-0.00152
450,-0.00604
451,-0.00424
452,-0.05725
453,0.0216
454,-0.00428
455,0.00202
456,0.01519
457,-0.0004
458,-0.00621
459,-0.00394
460,-0.00316
461,-0.01127
462,-0.00869
463,0.00032
464,0.01416
465,0.00342
466,-0.00594
467,-0.00185
468,-0.01328
469,0.00565
470,0.00964
471,-0.00337
472,0.00641
473,0.00229
474,-0.00424
475,0.0065
476,0.00061
477,0.00305
478,-0.00634
479,-0.00004
480,0.00601
481,0.00619
482,0.00458
483,0.00117
484,-0.00542
485,0.00539
486,0.01201
487,0.00281
488,-0.00396
489,-0.00238
490,-0.00205
491,0.00229
492,-0.00004
493,0.00797
494,0.00313
495,-0.00482
496,-0.00282
497,-0.01668
498,-0.00399
499,0.00075
500,0.00505
501,0.00818
502,-0.00091
503,0.00476
504,0.00502
505,0.00736
506,0.01529
507,-0.00058
508,-0.00713
509,-0.0087
510,0.00362
511,-0.01026
512,-0.00595
513,0.00353
514,-0.023
515,-0.00912
516,0.00915
517,-0.00775
518,0.00105
519,0.00262
520,-0.02286
521,0.00057
522,-0.00346
523,-0.01139
524,-0.00233
525,-0.00227
526,-0.00718
527,0.01712
528,0.00042
529,0.00684
530,0.00404
531,-0.00536
532,0.01127
