Date,rtrr,,,,
ene-55,14765,,,,
feb-55,14896,,,,
mar-55,15005,,,,
abr-55,15255,,,,
may-55,15260,,,,
jun-55,15126,,,,
jul-55,15404,,,,
ago-55,15418,,,,
sep-55,15677,,,,
oct-55,15715,,,,
nov-55,15652,,,,
dic-55,15531,,,,
ene-56,15495,,,,
feb-56,15370,,,,
mar-56,15663,,,,
abr-56,15516,,,,
may-56,15771,,,,
jun-56,15797,,,,
jul-56,15744,,,,
ago-56,15826,,,,
sep-56,15906,,,,
oct-56,15933,,,,
nov-56,16106,,,,
dic-56,16193,,,,
ene-57,16329,,,,
feb-57,16635,,,,
mar-57,16453,,,,
abr-57,16493,,,,
may-57,16534,,,,
jun-57,16820,,,,
jul-57,16799,,,,
ago-57,16967,,,,
sep-57,16841,,,,
oct-57,16782,,,,
nov-57,16699,,,,
dic-57,16647,,,,
ene-58,16659,,,,
feb-58,16374,,,,
mar-58,16319,,,,
abr-58,16535,,,,
may-58,16517,,,,
jun-58,16476,,,,
jul-58,16746,,,,
ago-58,16853,,,,
sep-58,16745,,,,
oct-58,16662,,,,
nov-58,17048,,,,
dic-58,17605,,,,
ene-59,17583,,,,
feb-59,17712,,,,
mar-59,17860,,,,
abr-59,17871,,,,
may-59,18011,,,,
jun-59,18175,,,,
jul-59,18169,,,,
ago-59,18285,,,,
sep-59,18046,,,,
oct-59,18178,,,,
nov-59,17699,,,,
dic-59,17617,,,,
ene-60,18092,,,,
feb-60,18159,,,,
mar-60,18139,,,,
abr-60,18615,,,,
may-60,18337,,,,
jun-60,18312,,,,
jul-60,18128,,,,
ago-60,18190,,,,
sep-60,18173,,,,
oct-60,18333,,,,
nov-60,18071,,,,
dic-60,17939,,,,
ene-61,17953,,,,
feb-61,17889,,,,
mar-61,18078,,,,
abr-61,17758,,,,
may-61,18025,,,,
jun-61,18159,,,,
jul-61,18145,,,,
ago-61,18345,,,,
sep-61,18377,,,,
oct-61,18708,,,,
nov-61,18840,,,,
dic-61,18847,,,,
ene-62,19009,,,,
feb-62,19011,,,,
mar-62,19331,,,,
abr-62,19436,,,,
may-62,19568,,,,
jun-62,19317,,,,
jul-62,19623,,,,
ago-62,19745,,,,
sep-62,19804,,,,
oct-62,20115,,,,
nov-62,20220,,,,
dic-62,20216,,,,
ene-63,20301,,,,
feb-63,20148,,,,
mar-63,20309,,,,
abr-63,20397,,,,
may-63,20268,,,,
jun-63,20419,,,,
jul-63,20656,,,,
ago-63,20630,,,,
sep-63,20579,,,,
oct-63,20937,,,,
nov-63,20701,,,,
dic-63,21156,,,,
ene-64,21046,,,,
feb-64,21143,,,,
mar-64,21296,,,,
abr-64,21472,,,,
may-64,21762,,,,
jun-64,21779,,,,
jul-64,21887,,,,
ago-64,22195,,,,
sep-64,22404,,,,
oct-64,21538,,,,
nov-64,21740,,,,
dic-64,22751,,,,
ene-65,22918,,,,
feb-65,23063,,,,
mar-65,22834,,,,
abr-65,23026,,,,
may-65,23383,,,,
jun-65,23243,,,,
jul-65,23622,,,,
ago-65,23697,,,,
sep-65,23760,,,,
oct-65,24373,,,,
nov-65,24667,,,,
dic-65,24755,,,,
ene-66,24919,,,,
feb-66,24993,,,,
mar-66,25430,,,,
abr-66,25084,,,,
may-66,24653,,,,
jun-66,25222,,,,
jul-66,25328,,,,
ago-66,25615,,,,
sep-66,25667,,,,
oct-66,25557,,,,
nov-66,25566,,,,
dic-66,25384,,,,
ene-67,24156,,,,
feb-67,23912,,,,
mar-67,24153,,,,
abr-67,24214,,,,
may-67,24104,,,,
jun-67,24826,,,,
jul-67,24654,,,,
ago-67,24660,,,,
sep-67,25360,,,,
oct-67,24974,,,,
nov-67,25561,,,,
dic-67,26295,,,,
ene-68,25821,,,,
feb-68,26126,,,,
mar-68,26756,,,,
abr-68,26695,,,,
may-68,26866,,,,
jun-68,27306,,,,
jul-68,27649,,,,
ago-68,28012,,,,
sep-68,27416,,,,
oct-68,28185,,,,
nov-68,28882,,,,
dic-68,28467,,,,
ene-69,28774,,,,
feb-69,28983,,,,
mar-69,28750,,,,
abr-69,28915,,,,
may-69,29192,,,,
jun-69,29008,,,,
jul-69,29025,,,,
ago-69,29365,,,,
sep-69,29769,,,,
oct-69,30095,,,,
nov-69,30070,,,,
dic-69,30346,,,,
ene-70,30439,,,,
feb-70,30581,,,,
mar-70,30295,,,,
abr-70,30654,,,,
may-70,31092,,,,
jun-70,31290,,,,
jul-70,31552,,,,
ago-70,31542,,,,
sep-70,31640,,,,
oct-70,31901,,,,
nov-70,31195,,,,
dic-70,32109,,,,
ene-71,32878,,,,
feb-71,33214,,,,
mar-71,33260,,,,
abr-71,33878,,,,
may-71,33679,,,,
jun-71,34311,,,,
jul-71,34416,,,,
ago-71,34608,,,,
sep-71,35205,,,,
oct-71,35630,,,,
