Date,sp5
ene-26,0.0225
feb-26,-0.044
mar-26,-0.0591
abr-26,0.0227
may-26,0.0077
jun-26,0.0432
jul-26,0.0455
ago-26,0.0171
sep-26,0.0229
oct-26,-0.0313
nov-26,0.0223
dic-26,0.0166
ene-27,-0.0208
feb-27,0.0477
mar-27,0.0065
abr-27,0.0172
may-27,0.0522
jun-27,-0.0094
jul-27,0.065
ago-27,0.0445
sep-27,0.0432
oct-27,-0.0531
nov-27,0.0678
dic-27,0.019
ene-28,-0.0051
feb-28,-0.0176
mar-28,0.1083
abr-28,0.0324
may-28,0.0127
jun-28,-0.0405
jul-28,0.0125
ago-28,0.0741
sep-28,0.024
oct-28,0.0145
nov-28,0.1199
dic-28,0.0029
ene-29,0.0571
feb-29,-0.0058
mar-29,-0.0023
abr-29,0.0161
may-29,-0.0428
jun-29,0.1124
jul-29,0.0456
ago-29,0.098
sep-29,-0.0489
oct-29,-0.1993
nov-29,-0.1337
dic-29,0.0253
ene-30,0.0625
feb-30,0.0215
mar-30,0.0799
abr-30,-0.0095
may-30,-0.0165
jun-30,-0.1646
jul-30,0.0367
ago-30,0.0075
sep-30,-0.1301
oct-30,-0.0888
nov-30,-0.0218
dic-30,-0.0742
ene-31,0.0489
feb-31,0.1144
mar-31,-0.0692
abr-31,-0.0959
may-31,-0.1372
jun-31,0.139
jul-31,-0.0742
ago-31,0.0095
sep-31,-0.2994
oct-31,0.0844
nov-31,-0.0978
dic-31,-0.1453
ene-32,-0.0283
feb-32,0.0507
mar-32,-0.1182
abr-32,-0.2025
may-32,-0.2333
jun-32,-0.0089
jul-32,0.377
ago-32,0.3754
sep-32,-0.0369
oct-32,-0.1386
nov-32,-0.0589
dic-32,0.0519
ene-33,0.0073
feb-33,-0.1844
mar-33,0.0336
abr-33,0.4222
may-33,0.1587
jun-33,0.1317
jul-33,-0.088
ago-33,0.1146
sep-33,-0.1136
oct-33,-0.0885
nov-33,0.1027
dic-33,0.0223
ene-34,0.1059
feb-34,-0.0367
mar-34,-0.0009
abr-34,-0.027
may-34,-0.0813
jun-34,0.0208
jul-34,-0.1152
ago-34,0.0541
sep-34,-0.0055
oct-34,-0.0319
nov-34,0.0829
dic-34,-0.0042
ene-35,-0.0421
feb-35,-0.0396
mar-35,-0.0309
abr-35,0.0956
may-35,0.0323
jun-35,0.0678
jul-35,0.0831
ago-35,0.0217
sep-35,0.0239
oct-35,0.0751
nov-35,0.0393
dic-35,0.0371
ene-36,0.0655
feb-36,0.0168
mar-36,0.0254
abr-36,-0.0771
may-36,0.0458
jun-36,0.0306
jul-36,0.0681
ago-36,0.0088
sep-36,0.0013
oct-36,0.075
nov-36,0.0041
dic-36,-0.0058
ene-37,0.0378
feb-37,0.0146
mar-37,-0.0094
abr-37,-0.0831
may-37,-0.0103
jun-37,-0.0529
jul-37,0.1026
ago-37,-0.0554
sep-37,-0.1421
oct-37,-0.1017
nov-37,-0.1011
dic-37,-0.0504
ene-38,0.0133
feb-38,0.0608
mar-38,-0.2504
abr-38,0.1412
may-38,-0.0443
jun-38,0.247
jul-38,0.0727
ago-38,-0.0274
sep-38,0.0149
oct-38,0.076
nov-38,-0.0334
dic-38,0.0377
ene-39,-0.0689
feb-39,0.0325
mar-39,-0.1354
abr-39,-0.0055
may-39,0.0623
jun-39,-0.0638
jul-39,0.1087
ago-39,-0.0714
sep-39,0.1646
oct-39,-0.0146
nov-39,-0.0491
dic-39,0.0238
ene-40,-0.0352
feb-40,0.0066
mar-40,0.0099
abr-40,-0.0049
may-40,-0.2395
jun-40,0.0766
jul-40,0.0311
ago-40,0.0262
sep-40,0.0095
oct-40,0.0394
nov-40,-0.0424
dic-40,-0.0028
ene-41,-0.0482
feb-41,-0.0149
mar-41,0.004
abr-41,-0.0653
may-41,0.0043
jun-41,0.0535
jul-41,0.0548
ago-41,-0.0087
sep-41,-0.0097
oct-41,-0.0686
nov-41,-0.0421
dic-41,-0.0451
ene-42,0.0138
feb-42,-0.025
mar-42,-0.0675
abr-42,-0.0437
may-42,0.064
jun-42,0.0184
jul-42,0.0313
ago-42,0.007
sep-42,0.0267
oct-42,0.0644
nov-42,-0.0138
dic-42,0.0517
ene-43,0.0716
feb-43,0.0506
mar-43,0.0527
abr-43,0.0009
may-43,0.0449
jun-43,0.0198
jul-43,-0.0543
ago-43,0.0103
sep-43,0.0237
oct-43,-0.0132
nov-43,-0.0755
dic-43,0.059
ene-44,0.0154
feb-44,-0.0025
mar-44,0.0169
abr-44,-0.0125
may-44,0.0404
jun-44,0.051
jul-44,-0.0208
ago-44,0.0087
sep-44,-0.0031
oct-44,0
nov-44,0.0039
dic-44,0.0351
ene-45,0.0143
feb-45,0.0616
mar-45,-0.0462
abr-45,0.088
