educ,IQ,lwage
12,93,6.175867081
12,103,6.580639362
11,88,5.52146101
12,108,6.591673851
12,85,6.214608192
18,119,6.336825848
14,108,6.410174847
12,96,6.052089214
12,97,6.244166851
9,84,5.416100502
12,89,5.991464615
11,93,6.0330863
11,74,5.379897118
16,116,6.795705795
12,93,5.846438885
14,100,6.489204884
10,91,6.354370117
12,88,6.475432873
18,114,6.419994831
15,111,6.587550163
12,95,6.54102993
18,132,7.244227409
18,109,7.495542049
12,108,6.023447514
14,102,6.448889256
12,106,5.337538242
12,104,6.12468338
16,119,6.714170456
18,122,6.357842445
11,90,5.54126358
16,118,6.869014263
10,105,6.850126266
18,115,7.044033051
11,65,5.459585667
12,120,6.907755375
9,86,6.175867081
15,109,6.436150551
11,72,6.47697258
12,101,5.866467953
13,105,6.49072361
17,136,6.431331158
12,101,6.086774826
12,96,6.603943825
12,101,6.558197975
12,91,6.052089214
16,115,6.287858486
16,113,6.606650352
13,123,6.511745453
12,95,6.645091057
12,102,6.383506775
16,145,7.354362488
16,114,6.651571751
12,113,6.396929741
13,93,6.345636368
15,119,6.287858486
12,108,6.440946579
12,72,6.300786018
12,86,6.356107712
16,123,6.551080227
16,103,6.669497967
17,101,6.919683933
14,105,6.398594856
12,95,6.214608192
11,98,6.309918404
18,115,6.697034359
12,60,5.746203423
18,135,6.59441328
16,132,6.43775177
14,106,6.376727104
14,113,5.926926136
16,102,6.705638885
14,91,6.762729645
15,104,5.857933044
13,97,6.224558353
17,125,6.704414368
18,123,6.43775177
18,128,6.645091057
17,133,6.214608192
17,114,6.428105354
12,103,6.47697258
18,130,6.645091057
12,97,6.238324642
18,132,6.43775177
14,98,7.013015747
13,108,6.580639362
14,107,7.050989628
18,129,6.717804909
17,132,6.981005669
12,101,6.43775177
13,92,6.13122654
14,108,6.802394867
18,132,6.525029659
13,106,6.43775177
18,123,6.912742615
11,109,6.586171627
15,103,6.620073318
14,108,6.270988464
17,122,6.879355907
12,109,6.156979084
12,102,5.783825397
12,109,6.774223804
13,100,6.43775177
12,93,5.820083141
16,115,6.175867081
18,125,6.869014263
16,106,6.421622276
14,113,6.55393362
14,122,6.453625202
12,116,6.705638885
14,116,6.357842445
17,105,6.144185543
16,112,6.675823212
14,113,6.453625202
16,94,6.558197975
14,103,6.453625202
12,102,6.542471886
13,109,6.421622276
16,130,6.135564804
12,105,6.762729645
18,134,6.6025877
12,105,6.694561958
16,104,6.483107567
12,112,5.703782558
16,115,6.357842445
18,117,6.386879444
17,114,5.783825397
16,118,5.953243256
18,107,6.907755375
18,120,6.142037392
16,131,6.086774826
16,124,6.43775177
17,121,5.652489185
14,110,6.47697258
13,103,6.694561958
16,115,6.722630024
12,96,6.214608192
17,123,6.54102993
12,101,7.003065586
12,98,6.637258053
16,108,5.808142662
18,138,6.013715267
16,121,6.762729645
12,96,6.788971901
12,89,6.511745453
12,109,6.551080227
18,133,5.52146101
11,84,6.43775177
13,98,6.356107712
12,85,6.418365002
12,105,6.551080227
12,93,6.109247684
16,115,6.214608192
16,146,5.52146101
12,82,5.926926136
15,120,6.12468338
12,122,6.857513905
16,128,5.666426659
16,110,6.214608192
18,114,6.587550163
18,117,7.142827511
17,109,6.418365002
12,91,6.300786018
13,107,5.627621174
18,114,7.273786545
16,126,6.902742863
12,82,6.551080227
16,119,6.357842445
16,104,6.754603863
12,97,6.53087759
15,115,6.723832607
13,83,6.450470448
12,97,6.535241127
14,119,6.645091057
15,105,5.953243256
12,114,6.421622276
12,93,6.525029659
10,73,6.507277489
11,96,6.684611797
18,117,6.933423042
15,113,6.645091057
10,106,5.669880867
13,104,6.270988464
10,80,6.308098316
12,104,6.163314819
12,102,6.109247684
17,114,6.774223804
15,93,5.298317432
13,122,5.703782558
16,117,6.135564804
12,96,5.953243256
15,95,7.156176567
16,117,6.376727104
12,105,6.396929741
12,94,6.086774826
18,139,6.146329403
17,91,6.834108829
16,96,6.320768356
13,114,6.082219124
12,54,6.396929741
12,69,6.354370117
12,67,5.963579178
12,110,6.678342342
18,125,6.154858112
17,124,5.308267593
