date,gtemp_land,gtemp_ocean
1850,-0.5,-0.12
1851,-0.6,-0.08
1852,-0.5,-0.14
1853,-0.5,0.04
1854,-0.2,0.04
1855,-0.5,0
1856,-0.8,-0.05
1857,-0.4,-0.27
1858,-0.4,-0.09
1859,-0.1,0.01
1860,-0.7,0.06
1861,-0.2,-0.28
1862,-0.5,-0.16
1863,-0.2,-0.06
1864,-0.3,-0.11
1865,-0.6,0.04
1866,-0.4,0.12
1867,-0.6,0.01
1868,-0.3,0.02
1869,-0.5,0.02
1870,-0.2,0.07
1871,-0.1,0.05
1872,-0.4,-0.07
1873,-0.3,-0.19
1874,-0.4,-0.19
1875,-0.5,-0.07
1876,-0.2,-0.1
1877,-0.1,0.11
1878,0.26,0.28
1879,-0.2,0.07
1880,-0.5,0.08
1881,-0.4,0.11
1882,-0.2,0.08
1883,-0.4,-0.05
1884,-0.7,-0.1
1885,-0.4,-0.18
1886,-0.5,-0.14
1887,-0.3,-0.2
1888,-0.7,-0.14
1889,0,0.13
1890,-0.2,-0.23
1891,-0.3,-0.12
1892,-0.5,-0.12
1893,-0.4,-0.21
1894,0.1,-0.26
1895,-0.5,-0.2
1896,-0.5,0.04
1897,-0.7,0.12
1898,-1.1,-0.18
1899,-0.5,-0.18
1900,0,-0.01
1901,0.21,-0.04
1902,-0.4,-0.17
1903,0.05,-0.26
1904,-0.6,-0.5
1905,-0.7,-0.2
1906,-0.3,-0.14
1907,-0.3,-0.2
1908,-0.8,-0.37
1909,-0.7,-0.41
1910,-0.5,-0.5
1911,-0.8,-0.47
1912,-0.7,-0.12
1913,-0.4,-0.34
1914,-0.1,-0.17
1915,-0.2,0.02
1916,-0.5,-0.16
1917,-1,-0.47
1918,-0.3,-0.24
1919,-0.5,-0.05
1920,0.05,-0.18
1921,-0.1,-0.26
1922,0,-0.12
1923,-0.3,-0.3
1924,0.01,-0.11
1925,-0.2,-0.28
1926,0.53,-0.11
1927,-0.6,-0.2
1928,-0.2,-0.2
1929,-0.3,-0.32
1930,0.21,-0.2
1931,-0.1,-0.03
1932,-0.1,-0.11
1933,-0.3,-0.21
1934,-0.3,-0.28
1935,0.13,-0.24
1936,-0.3,-0.15
1937,-0.4,-0.06
1938,0.38,-0.09
1939,-0.2,-0.1
1940,0.06,0.17
1941,-0.1,0.23
1942,-0.1,0.19
1943,0,-0.01
1944,0.36,0.27
1945,0,0.16
1946,0,0.03
1947,0.32,-0.07
1948,-0.3,-0.17
1949,0.24,-0.04
1950,0,-0.1
1951,-0.2,-0.13
1952,-0.3,0.11
1953,0.33,0.06
1954,-0.3,-0.07
1955,-0.6,-0.12
1956,-0.2,-0.11
1957,-0.3,0.03
1958,0.03,0.15
1959,0.49,0.06
1960,-0.9,0.04
1961,0.08,0.1
1962,0.36,0.07
1963,-0.4,0.01
1964,-0.3,-0.06
1965,-0.1,-0.09
1966,-0.1,0.03
1967,0.19,-0.02
1968,0.8,-0.11
1969,-0.2,0.25
1970,0,0.12
1971,0,-0.1
1972,0.13,0.03
1973,0.61,0.23
1974,0.18,-0.09
1975,0.32,0.02
1976,-0.2,-0.06
1977,0.29,0.23
1978,0.37,0.16
1979,0.1,0.24
1980,0.19,0.37
1981,0.85,0.26
1982,0,0.19
1983,0.64,0.35
1984,0.36,0.25
1985,0.42,0.17
1986,0.67,0.18
1987,-0.2,0.33
1988,0.51,0.44
1989,0.66,0.23
1990,1.61,0.41
1991,0.45,0.34
1992,0.78,0.31
1993,0.64,0.26
1994,0.41,0.26
1995,0.75,0.37
1996,0.44,0.33
1997,0.81,0.38
1998,0.94,0.56
1999,0.36,0.4
2000,1.14,0.34
2001,0.85,0.44
2002,1.58,0.53
2003,0.84,0.5
2004,1.02,0.5
2005,1.36,0.5
2006,1.2,0.43
2007,1.27,0.43
2008,1.65,0.33
2009,0.83,0.42
2010,1.54,0.61
2011,1.27,0.41
2012,0.93,0.37
2013,1.1,0.49
2014,1.52,0.51
2015,1.76,0.61
2016,2.5,0.83
2017,2.15,0.73
2018,1.63,0.61
2019,2.14,0.72
2020,1.95,0.81
2021,1.58,0.57
2022,2.13,0.65
2023,2.26,0.78
