date,jj
ene-60,0.71
abr-60,0.63
jul-60,0.85
oct-60,0.44
ene-61,0.61
abr-61,0.69
jul-61,0.92
oct-61,0.55
ene-62,0.72
abr-62,0.77
jul-62,0.92
oct-62,0.6
ene-63,0.83
abr-63,0.8
jul-63,1
oct-63,0.77
ene-64,0.92
abr-64,1
jul-64,1.24
oct-64,1
ene-65,1.16
abr-65,1.3
jul-65,1.45
oct-65,1.25
ene-66,1.26
abr-66,1.38
jul-66,1.86
oct-66,1.56
ene-67,1.53
abr-67,1.59
jul-67,1.83
oct-67,1.86
ene-68,1.53
abr-68,2.07
jul-68,2.34
oct-68,2.25
ene-69,2.16
abr-69,2.43
jul-69,2.7
oct-69,2.25
ene-70,2.79
abr-70,3.42
jul-70,3.69
oct-70,3.6
ene-71,3.6
abr-71,4.32
jul-71,4.32
oct-71,4.05
ene-72,4.86
abr-72,5.04
jul-72,5.04
oct-72,4.41
ene-73,5.58
abr-73,5.85
jul-73,6.57
oct-73,5.31
ene-74,6.03
abr-74,6.39
jul-74,6.93
oct-74,5.85
ene-75,6.93
abr-75,7.74
jul-75,7.83
oct-75,6.12
ene-76,7.74
abr-76,8.91
jul-76,8.28
oct-76,6.84
ene-77,9.54
abr-77,10.26
jul-77,9.54
oct-77,8.729999
ene-78,11.88
abr-78,12.06
jul-78,12.15
oct-78,8.91
ene-79,14.04
abr-79,12.96
jul-79,14.85
oct-79,9.99
ene-80,16.2
abr-80,14.67
jul-80,16.02
oct-80,11.61
