Date,vol_nyse
ene-45,39
feb-45,32.61
mar-45,27.49
abr-45,28.27
may-45,32.02
jun-45,41.31
jul-45,19.98
ago-45,43.43
sep-45,25.13
oct-45,35.48
nov-45,40.41
dic-45,34.15
ene-46,51.51
feb-46,34.09
mar-46,25.66
abr-46,31.43
may-46,30.41
jun-46,21.72
jul-46,20.6
ago-46,20.81
sep-46,43.45
oct-46,30.38
nov-46,23.82
dic-46,39.34
ene-47,23.56
feb-47,23.76
mar-47,19.34
abr-47,20.62
may-47,20.62
jun-47,17.48
jul-47,25.47
ago-47,14.15
sep-47,16.02
oct-47,27.78
nov-47,17.22
dic-47,27.61
ene-48,20.22
feb-48,16.8
mar-48,22.99
abr-48,34.61
may-48,42.77
jun-48,30.92
jul-48,24.59
ago-48,15.04
sep-48,17.56
oct-48,20.43
nov-48,28.32
dic-48,27.96
ene-49,18.83
feb-49,17.18
mar-49,21.14
abr-49,19
may-49,18.18
jun-49,17.77
jul-49,18.75
ago-49,21.79
sep-49,23.84
oct-49,28.89
nov-49,27.24
dic-49,39.29
ene-50,42.58
feb-50,33.41
mar-50,40.41
abr-50,48.24
may-50,41.6
jun-50,45.65
jul-50,43.85
ago-50,38.47
sep-50,38.59
oct-50,48.39
nov-50,43.09
dic-50,59.82
ene-51,70.18
feb-51,41.23
mar-51,35.63
abr-51,34.29
may-51,38.46
jun-51,27.4
jul-51,27.99
ago-51,33.64
sep-51,36.39
oct-51,42.53
nov-51,25.68
dic-51,30.08
ene-52,37.14
feb-52,27.2
mar-52,29.51
abr-52,28.96
may-52,23.66
jun-52,25.52
jul-52,24.12
ago-52,20.9
sep-52,24.14
oct-52,25.98
nov-52,30.24
dic-52,40.52
ene-53,34.09
feb-53,30.21
mar-53,42.47
abr-53,34.37
may-53,25.77
jun-53,26.08
jul-53,22.23
ago-53,23.89
sep-53,27.17
oct-53,25.73
nov-53,26.68
dic-53,36.16
ene-54,33.37
feb-54,33.29
mar-54,44.13
abr-54,43.87
may-54,41.91
jun-54,42.22
jul-54,51.85
ago-54,56.93
sep-54,41.23
oct-54,44.18
nov-54,63.93
dic-54,76.46
ene-55,74.65
feb-55,60.72
mar-55,66.87
abr-55,53.79
may-55,45.43
jun-55,58.15
jul-55,48.51
ago-55,41.81
sep-55,60.1
oct-55,41.18
nov-55,46.38
dic-55,50.99
ene-56,47.2
feb-56,46.4
mar-56,60.36
abr-56,54.11
may-56,53.23
jun-56,37.2
jul-56,45.71
ago-56,44.52
sep-56,37.23
oct-56,40.34
nov-56,43.55
dic-56,46.41
ene-57,48.16
feb-57,37.58
mar-57,35.65
abr-57,48.31
may-57,52.56
jun-57,44.48
jul-57,48.26
ago-57,41.41
sep-57,36.87
oct-57,64.29
nov-57,48.22
dic-57,54.47
ene-58,49.87
feb-58,40.2
mar-58,46.68
abr-58,50.31
may-58,54.18
jun-58,56.62
jul-58,69.5
ago-58,62.37
sep-58,71.97
oct-58,95.09
nov-58,74.37
dic-58,75.92
ene-59,120.54
feb-59,65.79
mar-59,82.45
abr-59,75.89
may-59,70.97
jun-59,64.35
jul-59,70.89
ago-59,51.05
sep-59,57.52
oct-59,61.33
nov-59,64.56
dic-59,73.24
ene-60,63.93
feb-60,60.53
mar-60,65.72
abr-60,57.29
may-60,68.83
jun-60,75.53
jul-60,53.87
ago-60,65.35
sep-60,60.85
oct-60,54.43
nov-60,62
dic-60,77.35
ene-61,89.11
feb-61,92.8
mar-61,118.03
abr-61,101.78
may-61,96.95
jun-61,73.12
jul-61,60.9
ago-61,81.53
sep-61,63.86
oct-61,72.99
nov-61,87.79
dic-61,82.4
ene-62,80.88
feb-62,66.13
mar-62,68.48
abr-62,65.26
may-62,243.7
jun-62,96.27
jul-62,74.16
ago-62,77.46
sep-62,62.89
oct-62,78.72
nov-62,96.06
dic-62,80.96
ene-63,100.61
feb-63,79.19
mar-63,71.37
abr-63,109.93
may-63,105.19
jun-63,90.56
jul-63,76.28
ago-63,87.03
sep-63,111.19
oct-63,122.26
nov-63,93.97
dic-63,98.73
ene-64,116.63
feb-64,88.14
mar-64,113.99
abr-64,123.54
may-64,99.16
jun-64,96.18
jul-64,102.59
ago-64,82.31
sep-64,109.79
oct-64,106.58
nov-64,93.64
dic-64,104.04
ene-65,109.13
feb-65,112.29
mar-65,124.83
abr-65,119.14
may-65,110.21
jun-65,125.27
jul-65,85.18
ago-65,109.17
sep-65,155.46
oct-65,164.2
nov-65,147.19
dic-65,191.18
ene-66,182.9
feb-66,166.32
mar-66,191.52
abr-66,186.2
may-66,171.46
jun-66,140.65
jul-66,119.94
ago-66,162.47
sep-66,120.16
oct-66,146.38
nov-66,145.94
dic-66,165.55
ene-67,207.58
feb-67,183.08
mar-67,224.78
abr-67,187.79
may-67,218.52
jun-67,212.65
jul-67,216.69
ago-67,207.86
sep-67,205.03
oct-67,224.9
nov-67,211.56
dic-67,229.53
ene-68,262.84
feb-68,174.45
mar-68,192.73
abr-68,295.57
may-68,292.07
jun-68,257.37
jul-68,242.53
ago-68,194.06
sep-68,228.39
oct-68,272.02
nov-68,251.95
dic-68,267.57
ene-69,266.69
feb-69,210.33
mar-69,199.2
abr-69,237.02
may-69,256.66
jun-69,235.26
jul-69,228.31
ago-69,201.77
sep-69,219.22
oct-69,310.18
nov-69,213.7
dic-69,272.45
ene-70,221.16
feb-70,218.49
mar-70,212.97
abr-70,223.21
may-70,258.29
jun-70,226.46
jul-70,227.87
ago-70,218.81
sep-70,302.89
oct-70,261.5
nov-70,230.38
dic-70,335.31
ene-71,348.57
feb-71,371.26
mar-71,389.98
abr-71,401.65
may-71,303.15
jun-71,303.65
jul-71,265.31
ago-71,320.62
sep-71,252.8
oct-71,280.15
nov-71,276.42
dic-71,377.76
ene-72,379.52
feb-72,376.34
mar-72,403.73
abr-72,368.03
may-72,316.35
jun-72,314.56
jul-72,288.99
ago-72,357
sep-72,246.28
oct-72,317.4
nov-72,405.65
dic-72,344.77
ene-73,393.8
feb-73,318.3
mar-73,342.41
abr-73,278
may-73,337.24
jun-73,268.72
jul-73,307.76
ago-73,270.51
sep-73,329.08
oct-73,422.9
nov-73,399.93
dic-73,384.54
ene-74,363.14
feb-74,256.83
mar-74,309.01
abr-74,254.28
may-74,275.26
jun-74,245.36
jul-74,274.09
ago-74,280.11
sep-74,279.96
oct-74,377.11
nov-74,286.82
dic-74,315.14
ene-75,432.53
feb-75,423.74
mar-75,453.6
abr-75,447.32
may-75,457.52
jun-75,446.97
jul-75,441.67
ago-75,281.43
sep-75,275.11
oct-75,365.54
nov-75,318.86
