Date,gasales
ene-80,6800
feb-80,6818
mar-80,7401
abr-80,7580
may-80,7964
jun-80,8205
jul-80,8456
ago-80,8425
sep-80,7946
oct-80,8215
nov-80,7936
dic-80,8347
ene-81,8062
feb-81,7643
mar-81,8419
abr-81,8538
may-81,8784
jun-81,9046
jul-81,9219
ago-81,8989
sep-81,8665
oct-81,8762
nov-81,8341
dic-81,8604
ene-82,8102
feb-82,7416
mar-82,7850
abr-82,7735
may-82,7969
jun-82,8365
jul-82,8758
ago-82,8508
sep-82,8110
oct-82,8297
nov-82,8081
dic-82,8249
ene-83,7717
feb-83,7092
mar-83,7835
abr-83,8124
may-83,8704
jun-83,8992
jul-83,9388
ago-83,9417
sep-83,8929
oct-83,8953
nov-83,8704
dic-83,9072
ene-84,8497
feb-84,8108
mar-84,8763
abr-84,8812
may-84,9341
jun-84,9411
jul-84,9357
ago-84,9358
sep-84,8908
oct-84,9179
nov-84,8954
dic-84,8877
ene-85,8620
feb-85,7796
mar-85,8793
abr-85,9265
may-85,9794
jun-85,9814
jul-85,10189
ago-85,10169
sep-85,9522
oct-85,9879
nov-85,9528
dic-85,9972
ene-86,9407
feb-86,8368
mar-86,8468
abr-86,8229
may-86,8846
jun-86,8875
jul-86,8812
ago-86,8482
sep-86,8191
oct-86,8356
nov-86,7919
dic-86,8140
ene-87,7761
feb-87,7481
mar-87,8278
abr-87,8639
may-87,8936
jun-87,9144
jul-87,9490
ago-87,9446
sep-87,8928
oct-87,9092
nov-87,8672
dic-87,8902
ene-88,8408
feb-88,8119
mar-88,8830
abr-88,8957
may-88,9415
jun-88,9484
jul-88,9689
ago-88,10006
sep-88,9359
oct-88,9532
nov-88,9179
dic-88,9363
ene-89,8840
feb-89,8505
mar-89,9590
abr-89,10195
may-89,11058
jun-89,11044
jul-89,11147
ago-89,10967
sep-89,10268
oct-89,10572
nov-89,10221
dic-89,10475
ene-90,10120
feb-90,9434
mar-90,10497
abr-90,10537
may-90,11210
jun-90,11442
jul-90,11548
ago-90,12739
sep-90,12406
oct-90,13242
nov-90,12952
dic-90,12377
ene-91,11297
feb-91,10064
mar-91,10883
abr-91,11052
may-91,11960
jun-91,11846
jul-91,12091
ago-91,12406
sep-91,11350
oct-91,11678
nov-91,11360
dic-91,11308
