Date,liquor
ene-67,480
feb-67,467
mar-67,514
abr-67,505
may-67,534
jun-67,546
jul-67,539
ago-67,541
sep-67,551
oct-67,537
nov-67,584
dic-67,854
ene-68,522
feb-68,506
mar-68,558
abr-68,538
may-68,605
jun-68,583
jul-68,607
ago-68,624
sep-68,570
oct-68,609
nov-68,675
dic-68,861
ene-69,605
feb-69,537
mar-69,575
abr-69,588
may-69,656
jun-69,623
jul-69,661
ago-69,668
sep-69,603
oct-69,639
nov-69,669
dic-69,915
ene-70,643
feb-70,563
mar-70,616
abr-70,645
may-70,703
jun-70,684
jul-70,731
ago-70,722
sep-70,678
oct-70,713
nov-70,725
dic-70,989
ene-71,687
feb-71,629
mar-71,687
abr-71,706
may-71,754
jun-71,774
jul-71,825
ago-71,755
sep-71,751
oct-71,783
nov-71,804
dic-71,1139
ene-72,711
feb-72,693
mar-72,790
abr-72,754
may-72,799
jun-72,824
jul-72,854
ago-72,810
sep-72,798
oct-72,807
nov-72,832
dic-72,1142
ene-73,740
feb-73,713
mar-73,791
abr-73,768
may-73,846
jun-73,884
jul-73,886
ago-73,878
sep-73,813
oct-73,840
nov-73,884
dic-73,1245
ene-74,796
feb-74,750
mar-74,834
abr-74,838
may-74,902
jun-74,895
jul-74,962
ago-74,990
sep-74,882
oct-74,936
nov-74,997
dic-74,1305
ene-75,866
feb-75,805
mar-75,905
abr-75,873
may-75,1024
jun-75,985
jul-75,1049
ago-75,1034
sep-75,951
oct-75,1010
nov-75,1016
dic-75,1378
ene-76,915
feb-76,854
mar-76,922
abr-76,965
may-76,1014
jun-76,1040
jul-76,1137
ago-76,1026
sep-76,992
oct-76,1052
nov-76,1056
dic-76,1469
ene-77,916
feb-77,934
mar-77,987
abr-77,1018
may-77,1048
jun-77,1086
jul-77,1144
ago-77,1077
sep-77,1036
oct-77,1076
nov-77,1114
dic-77,1595
ene-78,949
feb-78,930
mar-78,1045
abr-78,1015
may-78,1091
jun-78,1142
jul-78,1182
ago-78,1161
sep-78,1145
oct-78,1119
nov-78,1189
dic-78,1662
ene-79,1048
feb-79,1019
mar-79,1129
abr-79,1092
may-79,1176
jun-79,1297
jul-79,1322
ago-79,1330
sep-79,1263
oct-79,1250
nov-79,1341
dic-79,1927
ene-80,1271
feb-80,1238
mar-80,1283
abr-80,1283
may-80,1413
jun-80,1371
jul-80,1425
ago-80,1453
sep-80,1311
oct-80,1387
nov-80,1454
dic-80,1993
ene-81,1328
feb-81,1250
mar-81,1308
abr-81,1350
may-81,1455
jun-81,1442
jul-81,1530
ago-81,1505
sep-81,1421
oct-81,1485
nov-81,1465
dic-81,2163
ene-82,1361
feb-82,1284
mar-82,1392
abr-82,1442
may-82,1504
jun-82,1488
jul-82,1606
ago-82,1488
sep-82,1442
oct-82,1495
nov-82,1509
dic-82,2135
ene-83,1369
feb-83,1320
mar-83,1448
abr-83,1495
may-83,1522
jun-83,1575
jul-83,1666
ago-83,1617
sep-83,1567
oct-83,1551
nov-83,1624
dic-83,2367
ene-84,1377
feb-84,1294
mar-84,1401
abr-84,1362
may-84,1466
jun-84,1559
jul-84,1569
ago-84,1575
sep-84,1456
oct-84,1487
nov-84,1549
dic-84,2178
ene-85,1423
feb-85,1312
mar-85,1465
abr-85,1488
may-85,1577
jun-85,1591
jul-85,1669
ago-85,1697
sep-85,1659
oct-85,1597
nov-85,1728
dic-85,2326
ene-86,1529
feb-86,1395
mar-86,1567
abr-86,1536
may-86,1682
jun-86,1675
jul-86,1758
ago-86,1708
sep-86,1561
oct-86,1643
nov-86,1635
dic-86,2240
ene-87,1485
feb-87,1376
mar-87,1459
abr-87,1526
may-87,1659
jun-87,1623
jul-87,1731
ago-87,1662
sep-87,1589
oct-87,1683
nov-87,1672
dic-87,2361
ene-88,1480
feb-88,1385
mar-88,1505
abr-88,1576
may-88,1649
jun-88,1684
jul-88,1748
ago-88,1642
sep-88,1571
oct-88,1567
nov-88,1637
dic-88,2397
ene-89,1483
feb-89,1390
mar-89,1562
abr-89,1573
may-89,1718
jun-89,1752
jul-89,1809
ago-89,1759
sep-89,1698
oct-89,1643
nov-89,1718
dic-89,2399
ene-90,1551
feb-90,1497
mar-90,1697
abr-90,1672
may-90,1805
jun-90,1903
jul-90,1928
ago-90,1963
sep-90,1807
oct-90,1843
nov-90,1950
dic-90,2736
ene-91,1798
feb-91,1700
mar-91,1901
abr-91,1820
may-91,1982
jun-91,1957
jul-91,2076
ago-91,2107
sep-91,1799
oct-91,1854
nov-91,1968
dic-91,2364
ene-92,1662
feb-92,1681
mar-92,1725
abr-92,1796
may-92,1938
jun-92,1871
jul-92,2001
ago-92,1934
sep-92,1825
oct-92,1930
nov-92,1867
dic-92,2553
ene-93,1624
feb-93,1533
mar-93,1676
abr-93,1706
may-93,1781
jun-93,1772
jul-93,1922
ago-93,1743
sep-93,1669
oct-93,1713
nov-93,1733
dic-93,2369
ene-94,1491
feb-94,1445
mar-94,1643
abr-94,1683
may-94,1751
jun-94,1774
jul-94,1893
ago-94,1776
sep-94,1743
oct-94,1728
nov-94,1769
dic-94,2431
