Date,Spot
"may 15, 1987",18.58
"may 22, 1987",18.54
"may 29, 1987",18.6
"jun 05, 1987",18.7
"jun 12, 1987",18.75
"jun 19, 1987",19.01
"jun 26, 1987",18.91
"jul 03, 1987",19.16
"jul 10, 1987",19.57
"jul 17, 1987",20.2
"jul 24, 1987",20.19
"jul 31, 1987",19.86
"ago 07, 1987",20.16
"ago 14, 1987",19.41
"ago 21, 1987",18.5
"ago 28, 1987",17.92
"sep 04, 1987",18.35
"sep 11, 1987",17.93
"sep 18, 1987",18.39
"sep 25, 1987",18.5
"oct 02, 1987",18.56
"oct 09, 1987",18.64
"oct 16, 1987",18.69
"oct 23, 1987",18.98
"oct 30, 1987",18.79
"nov 06, 1987",18.15
"nov 13, 1987",17.74
"nov 20, 1987",17.47
"nov 27, 1987",17.78
"dic 04, 1987",17.8
"dic 11, 1987",17.61
"dic 18, 1987",15.91
"dic 25, 1987",16.61
"ene 01, 1988",17.46
"ene 08, 1988",17.45
"ene 15, 1988",16.44
"ene 22, 1988",16.91
"ene 29, 1988",16.24
"feb 05, 1988",16.14
"feb 12, 1988",16.18
"feb 19, 1988",15.64
"feb 26, 1988",15.16
"mar 04, 1988",14.14
"mar 11, 1988",14.21
"mar 18, 1988",14.48
"mar 25, 1988",15.38
"abr 01, 1988",15.63
"abr 08, 1988",15.49
"abr 15, 1988",16.55
"abr 22, 1988",17.09
"abr 29, 1988",17.04
"may 06, 1988",16.16
"may 13, 1988",16.45
"may 20, 1988",16.46
"may 27, 1988",16.23
"jun 03, 1988",16.31
"jun 10, 1988",16.18
"jun 17, 1988",15.6
"jun 24, 1988",15.09
"jul 01, 1988",14.49
"jul 08, 1988",14.62
"jul 15, 1988",14.22
"jul 22, 1988",15.37
"jul 29, 1988",15.62
"ago 05, 1988",15.06
"ago 12, 1988",15.22
"ago 19, 1988",14.81
"ago 26, 1988",14.76
"sep 02, 1988",14.3
"sep 09, 1988",13.35
"sep 16, 1988",13.35
"sep 23, 1988",13.09
"sep 30, 1988",12.57
"oct 07, 1988",11.42
"oct 14, 1988",12.55
"oct 21, 1988",13.36
"oct 28, 1988",12.26
"nov 04, 1988",12.48
"nov 11, 1988",12.82
"nov 18, 1988",12.57
"nov 25, 1988",13.3
"dic 02, 1988",14.61
"dic 09, 1988",14.76
"dic 16, 1988",15.38
"dic 23, 1988",15.31
"dic 30, 1988",16.12
"ene 06, 1989",16.59
"ene 13, 1989",16.98
"ene 20, 1989",17.9
"ene 27, 1989",17.33
"feb 03, 1989",16.67
"feb 10, 1989",16.57
"feb 17, 1989",16.88
"feb 24, 1989",17.14
"mar 03, 1989",17.44
"mar 10, 1989",17.65
"mar 17, 1989",18.81
"mar 24, 1989",19.59
"mar 31, 1989",19.91
"abr 07, 1989",19.56
"abr 14, 1989",19.8
"abr 21, 1989",21.09
"abr 28, 1989",20.84
"may 05, 1989",19.28
"may 12, 1989",19.04
"may 19, 1989",18.9
"may 26, 1989",17.82
"jun 02, 1989",18.05
"jun 09, 1989",18.19
"jun 16, 1989",16.9
"jun 23, 1989",17.24
"jun 30, 1989",18.18
"jul 07, 1989",18.38
"jul 14, 1989",17.72
"jul 21, 1989",17.95
"jul 28, 1989",16.7
"ago 04, 1989",16.24
"ago 11, 1989",16.54
"ago 18, 1989",16.93
"ago 25, 1989",17.02
"sep 01, 1989",17.15
"sep 08, 1989",17.66
"sep 15, 1989",17.94
"sep 22, 1989",17.83
"sep 29, 1989",17.72
"oct 06, 1989",18.59
"oct 13, 1989",18.9
"oct 20, 1989",19.37
"oct 27, 1989",18.75
"nov 03, 1989",19.07
"nov 10, 1989",18.93
"nov 17, 1989",18.72
"nov 24, 1989",18.59
"dic 01, 1989",18.41
"dic 08, 1989",19.24
"dic 15, 1989",19.62
"dic 22, 1989",20.22
"dic 29, 1989",20.93
"ene 05, 1990",22.37
"ene 12, 1990",21.67
"ene 19, 1990",21.05
"ene 26, 1990",20.49
"feb 02, 1990",20.65
"feb 09, 1990",20.26
"feb 16, 1990",19.82
"feb 23, 1990",19.45
"mar 02, 1990",19.17
"mar 09, 1990",18.94
"mar 16, 1990",18.41
"mar 23, 1990",17.81
"mar 30, 1990",18.04
"abr 06, 1990",17.8
"abr 13, 1990",15.89
"abr 20, 1990",15.88
"abr 27, 1990",16.65
"may 04, 1990",16.17
"may 11, 1990",16.34
"may 18, 1990",17.24
"may 25, 1990",16.12
"jun 01, 1990",15.55
"jun 08, 1990",14.93
"jun 15, 1990",15.01
"jun 22, 1990",14.9
"jun 29, 1990",15.52
"jul 06, 1990",15.39
"jul 13, 1990",15.83
"jul 20, 1990",17.77
"jul 27, 1990",18.91
"ago 03, 1990",20.9
"ago 10, 1990",26.4
"ago 17, 1990",27.18
"ago 24, 1990",30.48
"ago 31, 1990",27.65
"sep 07, 1990",31.09
"sep 14, 1990",32.01
"sep 21, 1990",35.71
"sep 28, 1990",40.79
"oct 05, 1990",37.64
"oct 12, 1990",40.27
"oct 19, 1990",36.28
"oct 26, 1990",30.63
"nov 02, 1990",35.03
"nov 09, 1990",34.13
"nov 16, 1990",32.24
"nov 23, 1990",31.01
"nov 30, 1990",33.98
"dic 07, 1990",29.72
"dic 14, 1990",28.06
"dic 21, 1990",27.67
"dic 28, 1990",27.47
"ene 04, 1991",26.07
"ene 11, 1991",25.33
"ene 18, 1991",25.86
"ene 25, 1991",20.77
"feb 01, 1991",20.72
"feb 08, 1991",20.63
"feb 15, 1991",20.44
"feb 22, 1991",18.13
"mar 01, 1991",18.66
"mar 08, 1991",19.77
"mar 15, 1991",19.28
"mar 22, 1991",18.8
"mar 29, 1991",18.28
"abr 05, 1991",17.95
"abr 12, 1991",19.17
"abr 19, 1991",19.71
"abr 26, 1991",19.63
"may 03, 1991",19.72
"may 10, 1991",19.81
"may 17, 1991",18.9
